,Number of Occurrences,Machine Cost,Event,Method
170,25,200,redo_B,Supervisory+RL
171,9,200,redo_B,Supervisory
172,27,300,redo_B,Supervisory+RL
173,10,300,redo_B,Supervisory
174,19,400,redo_B,Supervisory+RL
175,6,400,redo_B,Supervisory
176,31,500,redo_B,Supervisory+RL
177,6,500,redo_B,Supervisory
178,30,1000,redo_B,Supervisory+RL
179,16,1000,redo_B,Supervisory
180,25,10,redo_A,Supervisory+RL
181,17,10,redo_A,Supervisory
182,27,50,redo_A,Supervisory+RL
183,10,50,redo_A,Supervisory
184,11,100,redo_A,Supervisory+RL
185,7,100,redo_A,Supervisory
186,68,150,redo_A,Supervisory+RL
187,9,150,redo_A,Supervisory
188,22,200,redo_A,Supervisory+RL
189,17,200,redo_A,Supervisory
190,7,300,redo_A,Supervisory+RL
191,12,300,redo_A,Supervisory
192,35,400,redo_A,Supervisory+RL
193,12,400,redo_A,Supervisory
194,32,500,redo_A,Supervisory+RL
195,12,500,redo_A,Supervisory
196,6,1000,redo_A,Supervisory+RL
197,8,1000,redo_A,Supervisory
198,27,10,redo_B,Supervisory+RL
199,6,10,redo_B,Supervisory
200,27,50,redo_B,Supervisory+RL
201,12,50,redo_B,Supervisory
202,20,100,redo_B,Supervisory+RL
203,4,100,redo_B,Supervisory
204,23,150,redo_B,Supervisory+RL
205,9,150,redo_B,Supervisory
206,25,200,redo_B,Supervisory+RL
207,9,200,redo_B,Supervisory
208,27,300,redo_B,Supervisory+RL
209,10,300,redo_B,Supervisory
210,19,400,redo_B,Supervisory+RL
211,6,400,redo_B,Supervisory
212,31,500,redo_B,Supervisory+RL
213,6,500,redo_B,Supervisory
214,30,1000,redo_B,Supervisory+RL
215,16,1000,redo_B,Supervisory
216,25,10,redo_A,Supervisory+RL
217,17,10,redo_A,Supervisory
218,27,50,redo_A,Supervisory+RL
219,10,50,redo_A,Supervisory
220,11,100,redo_A,Supervisory+RL
221,7,100,redo_A,Supervisory
222,68,150,redo_A,Supervisory+RL
223,9,150,redo_A,Supervisory
224,22,200,redo_A,Supervisory+RL
225,17,200,redo_A,Supervisory
226,7,300,redo_A,Supervisory+RL
227,12,300,redo_A,Supervisory
228,35,400,redo_A,Supervisory+RL
229,12,400,redo_A,Supervisory
230,32,500,redo_A,Supervisory+RL
231,12,500,redo_A,Supervisory
232,6,1000,redo_A,Supervisory+RL
233,8,1000,redo_A,Supervisory
234,27,10,redo_B,Supervisory+RL
