,mean reward,Machine Cost,method
174,198330,150,Supervisory+RL
175,108530,150,Supervisory+RL
176,147240,150,Supervisory+RL
177,154730,150,Supervisory+RL
178,186790,150,Supervisory+RL
179,119840,150,Supervisory+RL
180,156180,150,Supervisory+RL
181,146770,150,Supervisory+RL
182,189670,150,Supervisory+RL
183,189980,150,Supervisory+RL
184,189980,150,Supervisory+RL
185,208340,150,Supervisory+RL
186,188680,150,Supervisory+RL
187,148530,150,Supervisory+RL
188,189520,150,Supervisory+RL
189,108370,150,Supervisory+RL
190,187080,150,Supervisory+RL
191,197630,150,Supervisory+RL
192,137030,150,Supervisory+RL
193,162470,150,Supervisory+RL
194,189380,150,Supervisory+RL
195,189980,150,Supervisory+RL
196,154730,150,Supervisory+RL
197,149980,150,Supervisory+RL
198,188530,150,Supervisory+RL
199,149530,150,Supervisory+RL
200,195480,200,Supervisory+RL
201,195290,200,Supervisory+RL
202,195480,200,Supervisory+RL
203,145280,200,Supervisory+RL
204,172680,200,Supervisory+RL
205,215480,200,Supervisory+RL
206,156080,200,Supervisory+RL
207,103290,200,Supervisory+RL
208,201670,200,Supervisory+RL
209,192260,200,Supervisory+RL
210,195680,200,Supervisory+RL
211,101870,200,Supervisory+RL
212,211480,200,Supervisory+RL
213,135480,200,Supervisory+RL
214,160280,200,Supervisory+RL
215,204280,200,Supervisory+RL
216,208080,200,Supervisory+RL
217,200280,200,Supervisory+RL
218,164090,200,Supervisory+RL
219,162660,200,Supervisory+RL
220,152280,200,Supervisory+RL
221,204090,200,Supervisory+RL
222,193880,200,Supervisory+RL
223,195480,200,Supervisory+RL
224,162070,200,Supervisory+RL
225,184080,200,Supervisory+RL
226,163280,200,Supervisory+RL
227,154680,200,Supervisory+RL
228,202680,200,Supervisory+RL
229,155680,200,Supervisory+RL
230,115080,200,Supervisory+RL
231,202490,200,Supervisory+RL
232,182890,200,Supervisory+RL
233,193690,200,Supervisory+RL
234,199480,200,Supervisory+RL
235,200680,200,Supervisory+RL
236,204480,200,Supervisory+RL
237,164280,200,Supervisory+RL
238,152090,200,Supervisory+RL
239,154890,200,Supervisory+RL
240,202490,200,Supervisory+RL
241,158680,200,Supervisory+RL
242,202680,200,Supervisory+RL
243,201690,200,Supervisory+RL
244,200280,200,Supervisory+RL
245,202490,200,Supervisory+RL
246,142280,200,Supervisory+RL
247,163690,200,Supervisory+RL
248,107670,200,Supervisory+RL
249,203480,200,Supervisory+RL
250,185700,300,Supervisory+RL
251,72700,300,Supervisory+RL
252,98400,300,Supervisory+RL
253,135100,300,Supervisory+RL
254,176600,300,Supervisory+RL
255,178700,300,Supervisory+RL
256,123600,300,Supervisory+RL
257,56000,300,Supervisory+RL
258,104800,300,Supervisory+RL
259,107900,300,Supervisory+RL
260,136000,300,Supervisory+RL
261,94200,300,Supervisory+RL
262,125400,300,Supervisory+RL
263,135700,300,Supervisory+RL
264,136600,300,Supervisory+RL
265,176600,300,Supervisory+RL
266,56600,300,Supervisory+RL
267,120900,300,Supervisory+RL
268,154800,300,Supervisory+RL
269,86900,300,Supervisory+RL
270,154200,300,Supervisory+RL
271,153000,300,Supervisory+RL
272,178400,300,Supervisory+RL
273,71200,300,Supervisory+RL
274,96300,300,Supervisory+RL
275,106600,300,Supervisory+RL
276,186000,300,Supervisory+RL
277,194200,300,Supervisory+RL
278,183600,300,Supervisory+RL
279,136600,300,Supervisory+RL
280,136600,300,Supervisory+RL
281,146900,300,Supervisory+RL
282,145700,300,Supervisory+RL
283,153900,300,Supervisory+RL
284,136000,300,Supervisory+RL
285,136600,300,Supervisory+RL
286,120900,300,Supervisory+RL
287,136600,300,Supervisory+RL
288,185700,300,Supervisory+RL
289,177800,300,Supervisory+RL
290,53000,300,Supervisory+RL
291,10000,300,Supervisory+RL
292,146000,300,Supervisory+RL
293,175100,300,Supervisory+RL
294,105700,300,Supervisory+RL
295,126600,300,Supervisory+RL
296,146600,300,Supervisory+RL
297,177800,300,Supervisory+RL
298,86000,300,Supervisory+RL
299,193000,300,Supervisory+RL
300,178880,400,Supervisory+RL
301,124280,400,Supervisory+RL
302,68690,400,Supervisory+RL
