,mean reward,Fail Probability,method
174,208120,40,Supervisory+RL
175,224920,40,Supervisory+RL
176,177060,40,Supervisory+RL
177,159110,40,Supervisory+RL
178,169180,40,Supervisory+RL
179,217060,40,Supervisory+RL
180,208100,40,Supervisory+RL
181,218070,40,Supervisory+RL
182,159090,40,Supervisory+RL
183,168150,40,Supervisory+RL
184,158070,40,Supervisory+RL
185,117040,40,Supervisory+RL
186,156030,40,Supervisory+RL
187,216990,40,Supervisory+RL
188,8030,40,Supervisory+RL
189,156010,40,Supervisory+RL
190,176030,40,Supervisory+RL
191,228010,40,Supervisory+RL
192,209210,40,Supervisory+RL
193,208190,40,Supervisory+RL
194,179100,40,Supervisory+RL
195,168130,40,Supervisory+RL
196,177040,40,Supervisory+RL
197,219110,40,Supervisory+RL
198,227000,40,Supervisory+RL
199,215050,40,Supervisory+RL
200,206070,50,Supervisory+RL
201,118230,50,Supervisory+RL
202,129120,50,Supervisory+RL
203,159220,50,Supervisory+RL
204,168150,50,Supervisory+RL
205,199180,50,Supervisory+RL
206,159220,50,Supervisory+RL
207,159190,50,Supervisory+RL
208,199180,50,Supervisory+RL
209,199220,50,Supervisory+RL
210,199270,50,Supervisory+RL
211,198140,50,Supervisory+RL
212,159220,50,Supervisory+RL
213,199260,50,Supervisory+RL
214,159230,50,Supervisory+RL
215,169130,50,Supervisory+RL
216,148130,50,Supervisory+RL
217,159190,50,Supervisory+RL
218,119170,50,Supervisory+RL
219,159280,50,Supervisory+RL
220,159150,50,Supervisory+RL
221,159220,50,Supervisory+RL
222,198090,50,Supervisory+RL
223,209120,50,Supervisory+RL
224,159220,50,Supervisory+RL
225,166070,50,Supervisory+RL
226,127020,50,Supervisory+RL
227,209160,50,Supervisory+RL
228,207100,50,Supervisory+RL
229,199220,50,Supervisory+RL
230,198170,50,Supervisory+RL
231,166000,50,Supervisory+RL
232,158130,50,Supervisory+RL
233,158170,50,Supervisory+RL
234,197130,50,Supervisory+RL
235,167100,50,Supervisory+RL
236,198110,50,Supervisory+RL
237,199180,50,Supervisory+RL
238,207100,50,Supervisory+RL
239,199220,50,Supervisory+RL
240,199180,50,Supervisory+RL
241,149120,50,Supervisory+RL
242,147100,50,Supervisory+RL
243,209160,50,Supervisory+RL
244,199270,50,Supervisory+RL
245,158150,50,Supervisory+RL
246,119190,50,Supervisory+RL
247,159300,50,Supervisory+RL
248,119190,50,Supervisory+RL
249,158190,50,Supervisory+RL
250,208090,60,Supervisory+RL
251,206070,60,Supervisory+RL
252,169220,60,Supervisory+RL
253,214940,60,Supervisory+RL
254,209180,60,Supervisory+RL
255,209090,60,Supervisory+RL
