,mean reward,Fail Probability,method
204,169050,20,SCT
205,178040,20,SCT
206,179090,20,SCT
207,179090,20,SCT
208,229000,20,SCT
209,226980,20,SCT
210,218070,20,SCT
211,219100,20,SCT
212,209120,20,SCT
213,239050,20,SCT
214,179100,20,SCT
215,177990,20,SCT
216,129020,20,SCT
217,229110,20,SCT
218,229090,20,SCT
219,58010,20,SCT
220,189010,30,SCT
221,219110,30,SCT
222,179070,30,SCT
223,169130,30,SCT
224,229020,30,SCT
225,227970,30,SCT
226,229040,30,SCT
227,219020,30,SCT
228,109130,30,SCT
229,178030,30,SCT
230,209160,30,SCT
231,169180,30,SCT
232,97050,30,SCT
233,179170,30,SCT
234,219100,30,SCT
235,139060,30,SCT
236,159060,30,SCT
237,99110,30,SCT
238,166960,30,SCT
239,179070,30,SCT
240,64920,40,SCT
241,209150,40,SCT
242,189040,40,SCT
243,109020,40,SCT
244,219110,40,SCT
245,219130,40,SCT
246,159070,40,SCT
247,229050,40,SCT
248,168080,40,SCT
249,168050,40,SCT
250,159080,40,SCT
251,219060,40,SCT
252,167990,40,SCT
253,219110,40,SCT
254,159090,40,SCT
255,175990,40,SCT
256,226990,40,SCT
257,139000,40,SCT
258,229110,40,SCT
259,109040,40,SCT
260,209180,50,SCT
261,119000,50,SCT
262,169040,50,SCT
263,109080,50,SCT
264,158030,50,SCT
265,76920,50,SCT
266,99110,50,SCT
267,78140,50,SCT
268,219070,50,SCT
269,197960,50,SCT
270,219010,50,SCT
271,189040,50,SCT
272,159060,50,SCT
273,129030,50,SCT
274,59060,50,SCT
275,98030,50,SCT
276,179100,50,SCT
277,179100,50,SCT
278,208140,50,SCT
279,159110,50,SCT
280,159090,60,SCT
281,169160,60,SCT
282,48050,60,SCT
283,99100,60,SCT
284,149150,60,SCT
285,168010,60,SCT
286,116920,60,SCT
287,218040,60,SCT
288,229000,60,SCT
289,118980,60,SCT
290,77960,60,SCT
291,158050,60,SCT
292,168000,60,SCT
293,46990,60,SCT
294,209160,60,SCT
295,76990,60,SCT
296,49000,60,SCT
297,97010,60,SCT
298,109120,60,SCT
299,234830,60,SCT
300,8020,70,SCT
301,219080,70,SCT
302,169030,70,SCT
303,167970,70,SCT
304,77020,70,SCT
305,98080,70,SCT
306,219070,70,SCT
307,46950,70,SCT
308,219100,70,SCT
309,79050,70,SCT
310,128080,70,SCT
311,129000,70,SCT
312,-51050,70,SCT
313,219100,70,SCT
314,7970,70,SCT
315,176880,70,SCT
316,59010,70,SCT
317,159100,70,SCT
318,159130,70,SCT
319,157000,70,SCT
320,55910,80,SCT
321,197160,80,SCT
322,98090,80,SCT
323,99070,80,SCT
324,108000,80,SCT
325,108100,80,SCT
326,7010,80,SCT
327,47000,80,SCT
328,149120,80,SCT
329,107990,80,SCT
330,199200,80,SCT
331,49010,80,SCT
332,25960,80,SCT
333,147100,80,SCT
334,68040,80,SCT
