,mean reward,Machine Cost,method
174,201550,150,Supervisory+RL
175,215750,150,Supervisory+RL
176,174150,150,Supervisory+RL
177,143600,150,Supervisory+RL
178,211550,150,Supervisory+RL
179,174150,150,Supervisory+RL
180,224000,150,Supervisory+RL
181,211400,150,Supervisory+RL
182,215900,150,Supervisory+RL
183,215600,150,Supervisory+RL
184,216050,150,Supervisory+RL
185,174750,150,Supervisory+RL
186,208350,150,Supervisory+RL
187,216000,150,Supervisory+RL
188,223850,150,Supervisory+RL
189,173300,150,Supervisory+RL
190,160350,150,Supervisory+RL
191,214750,150,Supervisory+RL
192,217450,150,Supervisory+RL
193,212400,150,Supervisory+RL
194,112150,150,Supervisory+RL
195,213550,150,Supervisory+RL
196,212700,150,Supervisory+RL
197,177600,150,Supervisory+RL
198,146600,150,Supervisory+RL
199,223250,150,Supervisory+RL
200,150000,200,Supervisory+RL
201,150000,200,Supervisory+RL
202,132600,200,Supervisory+RL
203,190800,200,Supervisory+RL
204,193200,200,Supervisory+RL
205,130800,200,Supervisory+RL
206,118800,200,Supervisory+RL
207,183000,200,Supervisory+RL
208,202000,200,Supervisory+RL
209,191800,200,Supervisory+RL
210,184800,200,Supervisory+RL
211,191600,200,Supervisory+RL
212,183600,200,Supervisory+RL
213,190600,200,Supervisory+RL
214,191600,200,Supervisory+RL
215,193800,200,Supervisory+RL
216,150600,200,Supervisory+RL
217,191600,200,Supervisory+RL
218,190600,200,Supervisory+RL
219,105200,200,Supervisory+RL
220,137200,200,Supervisory+RL
221,179800,200,Supervisory+RL
222,183800,200,Supervisory+RL
223,145000,200,Supervisory+RL
224,200800,200,Supervisory+RL
225,184400,200,Supervisory+RL
226,150800,200,Supervisory+RL
227,198600,200,Supervisory+RL
228,150000,200,Supervisory+RL
229,194400,200,Supervisory+RL
230,194000,200,Supervisory+RL
231,141800,200,Supervisory+RL
232,195600,200,Supervisory+RL
233,189000,200,Supervisory+RL
234,190000,200,Supervisory+RL
235,193200,200,Supervisory+RL
236,161200,200,Supervisory+RL
237,162000,200,Supervisory+RL
238,193200,200,Supervisory+RL
239,202000,200,Supervisory+RL
240,203400,200,Supervisory+RL
241,197800,200,Supervisory+RL
242,189000,200,Supervisory+RL
243,193600,200,Supervisory+RL
244,193800,200,Supervisory+RL
245,209200,200,Supervisory+RL
246,181200,200,Supervisory+RL
247,150800,200,Supervisory+RL
248,193400,200,Supervisory+RL
249,202000,200,Supervisory+RL
250,176600,300,Supervisory+RL
251,133500,300,Supervisory+RL
252,132800,300,Supervisory+RL
253,142900,300,Supervisory+RL
254,134700,300,Supervisory+RL
255,172900,300,Supervisory+RL
256,189900,300,Supervisory+RL
257,135700,300,Supervisory+RL
258,83200,300,Supervisory+RL
259,183000,300,Supervisory+RL
260,122900,300,Supervisory+RL
261,194800,300,Supervisory+RL
262,175400,300,Supervisory+RL
263,193600,300,Supervisory+RL
264,182900,300,Supervisory+RL
265,96600,300,Supervisory+RL
266,175100,300,Supervisory+RL
267,105400,300,Supervisory+RL
268,104800,300,Supervisory+RL
269,179100,300,Supervisory+RL
270,176600,300,Supervisory+RL
271,182900,300,Supervisory+RL
272,181400,300,Supervisory+RL
273,105700,300,Supervisory+RL
274,143600,300,Supervisory+RL
275,175300,300,Supervisory+RL
276,136600,300,Supervisory+RL
277,144800,300,Supervisory+RL
278,134800,300,Supervisory+RL
279,135000,300,Supervisory+RL
280,181000,300,Supervisory+RL
281,181700,300,Supervisory+RL
282,173500,300,Supervisory+RL
283,186000,300,Supervisory+RL
284,104800,300,Supervisory+RL
285,141400,300,Supervisory+RL
286,136600,300,Supervisory+RL
287,182900,300,Supervisory+RL
288,182900,300,Supervisory+RL
289,176600,300,Supervisory+RL
290,182300,300,Supervisory+RL
291,143500,300,Supervisory+RL
292,87600,300,Supervisory+RL
293,136600,300,Supervisory+RL
294,144800,300,Supervisory+RL
295,62900,300,Supervisory+RL
296,142700,300,Supervisory+RL
297,185100,300,Supervisory+RL
298,175100,300,Supervisory+RL
299,176600,300,Supervisory+RL
300,189400,400,Supervisory+RL
301,144800,400,Supervisory+RL
302,198200,400,Supervisory+RL
303,84200,400,Supervisory+RL
304,129600,400,Supervisory+RL
305,182600,400,Supervisory+RL
306,72600,400,Supervisory+RL
307,177200,400,Supervisory+RL
308,97200,400,Supervisory+RL
309,140600,400,Supervisory+RL
310,128200,400,Supervisory+RL
311,194000,400,Supervisory+RL
312,185200,400,Supervisory+RL
313,40200,400,Supervisory+RL
314,183600,400,Supervisory+RL
315,140000,400,Supervisory+RL
316,187200,400,Supervisory+RL
317,134800,400,Supervisory+RL
318,144000,400,Supervisory+RL
319,194800,400,Supervisory+RL
320,170000,400,Supervisory+RL
321,138000,400,Supervisory+RL
322,45000,400,Supervisory+RL
323,124600,400,Supervisory+RL
324,198800,400,Supervisory+RL
325,196800,400,Supervisory+RL
326,177200,400,Supervisory+RL
327,139800,400,Supervisory+RL
328,130000,400,Supervisory+RL
329,129400,400,Supervisory+RL
330,184000,400,Supervisory+RL
331,136400,400,Supervisory+RL
332,185000,400,Supervisory+RL
333,184600,400,Supervisory+RL
334,200200,400,Supervisory+RL
335,149400,400,Supervisory+RL
336,174200,400,Supervisory+RL
337,153200,400,Supervisory+RL
338,176400,400,Supervisory+RL
339,196400,400,Supervisory+RL
340,191600,400,Supervisory+RL
341,82800,400,Supervisory+RL
342,192800,400,Supervisory+RL
343,187200,400,Supervisory+RL
344,196000,400,Supervisory+RL
345,145200,400,Supervisory+RL
346,176800,400,Supervisory+RL
347,137200,400,Supervisory+RL
348,146400,400,Supervisory+RL
349,184200,400,Supervisory+RL
350,108500,500,Supervisory+RL
351,175000,500,Supervisory+RL
352,165500,500,Supervisory+RL
353,109500,500,Supervisory+RL
354,133000,500,Supervisory+RL
355,131500,500,Supervisory+RL
356,64000,500,Supervisory+RL
357,160500,500,Supervisory+RL
358,170500,500,Supervisory+RL
359,127000,500,Supervisory+RL
360,141000,500,Supervisory+RL
361,85500,500,Supervisory+RL
362,80500,500,Supervisory+RL
363,175000,500,Supervisory+RL
364,168500,500,Supervisory+RL
365,179500,500,Supervisory+RL
366,169500,500,Supervisory+RL
367,125500,500,Supervisory+RL
368,183000,500,Supervisory+RL
369,173500,500,Supervisory+RL
370,175000,500,Supervisory+RL
371,158000,500,Supervisory+RL
372,175000,500,Supervisory+RL
373,172500,500,Supervisory+RL
374,130000,500,Supervisory+RL
375,103000,500,Supervisory+RL
376,142500,500,Supervisory+RL
377,113500,500,Supervisory+RL
378,128500,500,Supervisory+RL
379,62000,500,Supervisory+RL
380,170000,500,Supervisory+RL
381,165500,500,Supervisory+RL
382,172000,500,Supervisory+RL
383,161500,500,Supervisory+RL
384,159000,500,Supervisory+RL
385,175500,500,Supervisory+RL
386,172500,500,Supervisory+RL
387,188500,500,Supervisory+RL
388,134500,500,Supervisory+RL
389,172500,500,Supervisory+RL
390,176000,500,Supervisory+RL
391,130500,500,Supervisory+RL
392,153500,500,Supervisory+RL
393,133500,500,Supervisory+RL
394,178500,500,Supervisory+RL
395,172500,500,Supervisory+RL
396,116000,500,Supervisory+RL
397,178500,500,Supervisory+RL
398,158500,500,Supervisory+RL
399,170500,500,Supervisory+RL
400,122000,1000,Supervisory+RL
401,130000,1000,Supervisory+RL
402,118000,1000,Supervisory+RL
403,126000,1000,Supervisory+RL
404,126000,1000,Supervisory+RL
405,115000,1000,Supervisory+RL
406,86000,1000,Supervisory+RL
407,122000,1000,Supervisory+RL
408,78000,1000,Supervisory+RL
409,134000,1000,Supervisory+RL
410,86000,1000,Supervisory+RL
411,114000,1000,Supervisory+RL
412,115000,1000,Supervisory+RL
413,123000,1000,Supervisory+RL
414,91000,1000,Supervisory+RL
415,78000,1000,Supervisory+RL
416,132000,1000,Supervisory+RL
417,76000,1000,Supervisory+RL
418,67000,1000,Supervisory+RL
419,122000,1000,Supervisory+RL
420,123000,1000,Supervisory+RL
421,-22000,1000,Supervisory+RL
422,128000,1000,Supervisory+RL
423,66000,1000,Supervisory+RL
424,87000,1000,Supervisory+RL
425,83000,1000,Supervisory+RL
426,46000,1000,Supervisory+RL
427,72000,1000,Supervisory+RL
428,118000,1000,Supervisory+RL
429,70000,1000,Supervisory+RL
430,122000,1000,Supervisory+RL
431,42000,1000,Supervisory+RL
432,126000,1000,Supervisory+RL
433,122000,1000,Supervisory+RL
434,126000,1000,Supervisory+RL
435,22000,1000,Supervisory+RL
436,114000,1000,Supervisory+RL
437,118000,1000,Supervisory+RL
438,122000,1000,Supervisory+RL
439,50000,1000,Supervisory+RL
440,84000,1000,Supervisory+RL
441,38000,1000,Supervisory+RL
442,122000,1000,Supervisory+RL
443,42000,1000,Supervisory+RL
444,96000,1000,Supervisory+RL
445,117000,1000,Supervisory+RL
446,114000,1000,Supervisory+RL
447,77000,1000,Supervisory+RL
448,122000,1000,Supervisory+RL
449,122000,1000,Supervisory+RL
450,126990,10,Supervisory
451,108050,10,Supervisory
452,129080,10,Supervisory
453,59100,10,Supervisory
454,229070,10,Supervisory
455,129080,10,Supervisory
456,118070,10,Supervisory
457,109220,10,Supervisory
458,179100,10,Supervisory
459,209060,10,Supervisory
460,229040,10,Supervisory
461,69000,10,Supervisory
462,188980,10,Supervisory
463,128010,10,Supervisory
464,129010,10,Supervisory
465,119060,10,Supervisory
466,159090,10,Supervisory
467,159100,10,Supervisory
468,79170,10,Supervisory
469,218030,10,Supervisory
470,189080,10,Supervisory
471,127990,10,Supervisory
472,137910,10,Supervisory
473,207100,10,Supervisory
474,188040,10,Supervisory
475,69150,10,Supervisory
476,227960,10,Supervisory
477,229010,10,Supervisory
478,137910,10,Supervisory
479,148120,10,Supervisory
480,169050,10,Supervisory
481,57950,10,Supervisory
482,159160,10,Supervisory
483,189120,10,Supervisory
484,189000,10,Supervisory
485,188940,10,Supervisory
486,178950,10,Supervisory
487,109140,10,Supervisory
488,185950,10,Supervisory
489,169040,10,Supervisory
490,158090,10,Supervisory
491,178940,10,Supervisory
492,179050,10,Supervisory
493,179110,10,Supervisory
494,119070,10,Supervisory
495,179100,10,Supervisory
496,178090,10,Supervisory
497,209150,10,Supervisory
498,177040,10,Supervisory
499,187980,10,Supervisory
500,55400,50,Supervisory
501,115200,50,Supervisory
502,175550,50,Supervisory
503,155400,50,Supervisory
504,123900,50,Supervisory
505,175400,50,Supervisory
506,135300,50,Supervisory
507,172500,50,Supervisory
508,225000,50,Supervisory
509,185050,50,Supervisory
510,163100,50,Supervisory
511,215650,50,Supervisory
512,165350,50,Supervisory
513,225300,50,Supervisory
514,184050,50,Supervisory
515,75600,50,Supervisory
516,215500,50,Supervisory
517,75300,50,Supervisory
518,133650,50,Supervisory
519,43800,50,Supervisory
520,104050,50,Supervisory
521,104950,50,Supervisory
522,235250,50,Supervisory
523,114100,50,Supervisory
524,94200,50,Supervisory
525,135450,50,Supervisory
526,215500,50,Supervisory
527,214150,50,Supervisory
528,165000,50,Supervisory
529,164550,50,Supervisory
530,54250,50,Supervisory
531,165650,50,Supervisory
532,172650,50,Supervisory
533,93200,50,Supervisory
534,165200,50,Supervisory
535,155050,50,Supervisory
536,103850,50,Supervisory
537,105300,50,Supervisory
538,105150,50,Supervisory
539,143900,50,Supervisory
540,185050,50,Supervisory
541,215450,50,Supervisory
542,215300,50,Supervisory
543,155500,50,Supervisory
544,184800,50,Supervisory
545,155500,50,Supervisory
546,174350,50,Supervisory
547,45000,50,Supervisory
548,114150,50,Supervisory
549,215300,50,Supervisory
550,220900,100,Supervisory
551,158900,100,Supervisory
552,159100,100,Supervisory
553,100500,100,Supervisory
554,221000,100,Supervisory
555,221100,100,Supervisory
556,139900,100,Supervisory
557,139400,100,Supervisory
558,211000,100,Supervisory
559,210100,100,Supervisory
560,180800,100,Supervisory
561,99200,100,Supervisory
562,158700,100,Supervisory
563,169500,100,Supervisory
564,201600,100,Supervisory
565,220000,100,Supervisory
566,220500,100,Supervisory
567,169200,100,Supervisory
568,219300,100,Supervisory
569,159000,100,Supervisory
570,210500,100,Supervisory
571,160400,100,Supervisory
572,130900,100,Supervisory
573,169300,100,Supervisory
574,220400,100,Supervisory
575,71000,100,Supervisory
576,201400,100,Supervisory
577,109800,100,Supervisory
578,59600,100,Supervisory
579,120200,100,Supervisory
580,169800,100,Supervisory
581,60400,100,Supervisory
582,141600,100,Supervisory
583,210900,100,Supervisory
584,118600,100,Supervisory
585,130200,100,Supervisory
586,170500,100,Supervisory
587,229500,100,Supervisory
588,211800,100,Supervisory
589,129800,100,Supervisory
590,161200,100,Supervisory
591,119400,100,Supervisory
592,120100,100,Supervisory
593,171100,100,Supervisory
594,160800,100,Supervisory
595,159100,100,Supervisory
596,178800,100,Supervisory
597,180000,100,Supervisory
598,58600,100,Supervisory
599,170200,100,Supervisory
600,106800,150,Supervisory
601,174150,150,Supervisory
602,104850,150,Supervisory
603,13850,150,Supervisory
604,145350,150,Supervisory
605,146200,150,Supervisory
606,156350,150,Supervisory
607,146050,150,Supervisory
608,55600,150,Supervisory
609,213700,150,Supervisory
610,206500,150,Supervisory
611,151950,150,Supervisory
612,157400,150,Supervisory
613,116950,150,Supervisory
614,123700,150,Supervisory
615,225300,150,Supervisory
616,166500,150,Supervisory
617,106650,150,Supervisory
618,156500,150,Supervisory
619,156950,150,Supervisory
620,164700,150,Supervisory
621,216800,150,Supervisory
622,224400,150,Supervisory
623,173550,150,Supervisory
624,155600,150,Supervisory
625,213550,150,Supervisory
626,204150,150,Supervisory
627,56350,150,Supervisory
628,206500,150,Supervisory
629,146500,150,Supervisory
630,184850,150,Supervisory
631,145900,150,Supervisory
632,155300,150,Supervisory
633,115150,150,Supervisory
634,146350,150,Supervisory
635,114150,150,Supervisory
636,105050,150,Supervisory
637,46050,150,Supervisory
638,224850,150,Supervisory
639,102800,150,Supervisory
640,203300,150,Supervisory
641,187000,150,Supervisory
642,86500,150,Supervisory
643,146050,150,Supervisory
644,155600,150,Supervisory
645,145900,150,Supervisory
646,196500,150,Supervisory
647,213000,150,Supervisory
648,206050,150,Supervisory
649,95000,150,Supervisory
650,167200,200,Supervisory
651,131800,200,Supervisory
652,132600,200,Supervisory
653,171200,200,Supervisory
654,200000,200,Supervisory
655,112800,200,Supervisory
656,50000,200,Supervisory
657,100400,200,Supervisory
658,131000,200,Supervisory
659,201200,200,Supervisory
660,38400,200,Supervisory
661,201200,200,Supervisory
662,142600,200,Supervisory
663,226200,200,Supervisory
664,170000,200,Supervisory
665,109400,200,Supervisory
666,200200,200,Supervisory
667,202200,200,Supervisory
668,208400,200,Supervisory
669,140800,200,Supervisory
670,162000,200,Supervisory
671,141200,200,Supervisory
672,102000,200,Supervisory
673,186000,200,Supervisory
674,99600,200,Supervisory
675,110000,200,Supervisory
676,211200,200,Supervisory
677,121000,200,Supervisory
678,203400,200,Supervisory
679,193200,200,Supervisory
680,162000,200,Supervisory
681,39000,200,Supervisory
682,199600,200,Supervisory
683,92000,200,Supervisory
684,130800,200,Supervisory
685,202000,200,Supervisory
686,144600,200,Supervisory
687,47600,200,Supervisory
688,92200,200,Supervisory
689,200000,200,Supervisory
690,153200,200,Supervisory
691,199800,200,Supervisory
692,191800,200,Supervisory
693,150800,200,Supervisory
694,157200,200,Supervisory
695,110000,200,Supervisory
696,151800,200,Supervisory
697,190000,200,Supervisory
698,210800,200,Supervisory
699,210000,200,Supervisory
700,143300,300,Supervisory
701,200900,300,Supervisory
702,137500,300,Supervisory
703,129300,300,Supervisory
704,151800,300,Supervisory
705,184800,300,Supervisory
706,104800,300,Supervisory
707,182400,300,Supervisory
708,171200,300,Supervisory
709,152100,300,Supervisory
710,89900,300,Supervisory
711,41500,300,Supervisory
712,110600,300,Supervisory
713,153000,300,Supervisory
714,25000,300,Supervisory
715,187400,300,Supervisory
716,93300,300,Supervisory
717,191200,300,Supervisory
718,134500,300,Supervisory
719,140500,300,Supervisory
720,99000,300,Supervisory
721,89300,300,Supervisory
722,58400,300,Supervisory
723,100900,300,Supervisory
724,189200,300,Supervisory
725,209400,300,Supervisory
726,194800,300,Supervisory
727,26200,300,Supervisory
728,191800,300,Supervisory
729,93000,300,Supervisory
730,90800,300,Supervisory
731,181700,300,Supervisory
732,131100,300,Supervisory
733,137800,300,Supervisory
734,92700,300,Supervisory
735,78700,300,Supervisory
736,191500,300,Supervisory
737,88700,300,Supervisory
738,141200,300,Supervisory
739,98100,300,Supervisory
740,193000,300,Supervisory
741,200600,300,Supervisory
742,149700,300,Supervisory
743,140300,300,Supervisory
744,151500,300,Supervisory
745,193000,300,Supervisory
746,149400,300,Supervisory
747,142100,300,Supervisory
748,53600,300,Supervisory
749,141800,300,Supervisory
750,-50600,400,Supervisory
