,mean reward,Rework Cost,method
163,205100,4000,Supervisory+RL
164,209230,4000,Supervisory+RL
165,209210,4000,Supervisory+RL
166,211010,4000,Supervisory+RL
167,179060,4000,Supervisory+RL
168,205010,4000,Supervisory+RL
169,209160,4000,Supervisory+RL
170,220980,4000,Supervisory+RL
171,149120,4000,Supervisory+RL
172,209230,4000,Supervisory+RL
173,181060,4000,Supervisory+RL
174,229080,4000,Supervisory+RL
175,229080,4000,Supervisory+RL
176,210960,4000,Supervisory+RL
177,208920,4000,Supervisory+RL
178,206970,4000,Supervisory+RL
179,159070,4000,Supervisory+RL
180,155190,4000,Supervisory+RL
181,225080,4000,Supervisory+RL
182,205130,4000,Supervisory+RL
183,209160,4000,Supervisory+RL
184,219070,4000,Supervisory+RL
185,193040,4000,Supervisory+RL
186,119100,4000,Supervisory+RL
187,169150,4000,Supervisory+RL
188,209100,4000,Supervisory+RL
189,201050,4000,Supervisory+RL
190,141040,4000,Supervisory+RL
191,199220,4000,Supervisory+RL
192,219100,4000,Supervisory+RL
193,216950,4000,Supervisory+RL
194,209190,4000,Supervisory+RL
195,145060,4000,Supervisory+RL
196,219180,4000,Supervisory+RL
197,205190,4000,Supervisory+RL
198,165090,4000,Supervisory+RL
199,165140,4000,Supervisory+RL
200,204070,5000,Supervisory+RL
201,199130,5000,Supervisory+RL
202,209170,5000,Supervisory+RL
203,199180,5000,Supervisory+RL
204,109160,5000,Supervisory+RL
205,209160,5000,Supervisory+RL
206,114190,5000,Supervisory+RL
207,199220,5000,Supervisory+RL
208,214060,5000,Supervisory+RL
209,169040,5000,Supervisory+RL
210,209160,5000,Supervisory+RL
211,199100,5000,Supervisory+RL
212,218980,5000,Supervisory+RL
213,199130,5000,Supervisory+RL
214,199110,5000,Supervisory+RL
215,199220,5000,Supervisory+RL
216,209180,5000,Supervisory+RL
217,114140,5000,Supervisory+RL
218,184030,5000,Supervisory+RL
219,109080,5000,Supervisory+RL
220,209130,5000,Supervisory+RL
221,199180,5000,Supervisory+RL
222,209120,5000,Supervisory+RL
223,139100,5000,Supervisory+RL
224,169100,5000,Supervisory+RL
225,224030,5000,Supervisory+RL
226,154020,5000,Supervisory+RL
227,199200,5000,Supervisory+RL
228,159220,5000,Supervisory+RL
229,199190,5000,Supervisory+RL
230,174080,5000,Supervisory+RL
231,199110,5000,Supervisory+RL
232,174070,5000,Supervisory+RL
233,209120,5000,Supervisory+RL
234,194190,5000,Supervisory+RL
235,139100,5000,Supervisory+RL
236,208920,5000,Supervisory+RL
237,199220,5000,Supervisory+RL
238,194190,5000,Supervisory+RL
239,204200,5000,Supervisory+RL
240,109150,5000,Supervisory+RL
241,209110,5000,Supervisory+RL
242,169160,5000,Supervisory+RL
243,204050,5000,Supervisory+RL
244,159240,5000,Supervisory+RL
245,199220,5000,Supervisory+RL
246,209140,5000,Supervisory+RL
247,154160,5000,Supervisory+RL
248,199200,5000,Supervisory+RL
249,159160,5000,Supervisory+RL
250,159220,6000,Supervisory+RL
251,199160,6000,Supervisory+RL
252,199190,6000,Supervisory+RL
253,169160,6000,Supervisory+RL
254,199220,6000,Supervisory+RL
255,129120,6000,Supervisory+RL
256,199220,6000,Supervisory+RL
257,89130,6000,Supervisory+RL
258,141130,6000,Supervisory+RL
259,159220,6000,Supervisory+RL
260,209130,6000,Supervisory+RL
261,193190,6000,Supervisory+RL
262,203130,6000,Supervisory+RL
263,159200,6000,Supervisory+RL
264,203100,6000,Supervisory+RL
265,199220,6000,Supervisory+RL
266,199220,6000,Supervisory+RL
267,206990,6000,Supervisory+RL
268,199190,6000,Supervisory+RL
269,199230,6000,Supervisory+RL
270,153170,6000,Supervisory+RL
271,199220,6000,Supervisory+RL
272,199220,6000,Supervisory+RL
273,199220,6000,Supervisory+RL
274,199130,6000,Supervisory+RL
275,187120,6000,Supervisory+RL
276,199180,6000,Supervisory+RL
277,209220,6000,Supervisory+RL
278,203210,6000,Supervisory+RL
279,193160,6000,Supervisory+RL
280,153190,6000,Supervisory+RL
281,169160,6000,Supervisory+RL
282,193190,6000,Supervisory+RL
283,159190,6000,Supervisory+RL
284,209110,6000,Supervisory+RL
285,199220,6000,Supervisory+RL
286,147000,6000,Supervisory+RL
287,163110,6000,Supervisory+RL
288,193130,6000,Supervisory+RL
289,197050,6000,Supervisory+RL
290,107160,6000,Supervisory+RL
291,209220,6000,Supervisory+RL
292,199220,6000,Supervisory+RL
293,157050,6000,Supervisory+RL
294,157110,6000,Supervisory+RL
295,187130,6000,Supervisory+RL
296,203120,6000,Supervisory+RL
297,199200,6000,Supervisory+RL
298,147080,6000,Supervisory+RL
299,199200,6000,Supervisory+RL
300,189000,7000,Supervisory+RL
301,112070,7000,Supervisory+RL
302,212070,7000,Supervisory+RL
303,169170,7000,Supervisory+RL
304,174990,7000,Supervisory+RL
305,112130,7000,Supervisory+RL
306,200940,7000,Supervisory+RL
307,138010,7000,Supervisory+RL
308,122010,7000,Supervisory+RL
309,179110,7000,Supervisory+RL
310,209160,7000,Supervisory+RL
311,165040,7000,Supervisory+RL
312,205040,7000,Supervisory+RL
313,179000,7000,Supervisory+RL
314,98000,7000,Supervisory+RL
315,162020,7000,Supervisory+RL
316,200920,7000,Supervisory+RL
317,158060,7000,Supervisory+RL
318,152040,7000,Supervisory+RL
319,202130,7000,Supervisory+RL
320,212150,7000,Supervisory+RL
321,169220,7000,Supervisory+RL
322,114990,7000,Supervisory+RL
323,139140,7000,Supervisory+RL
324,212030,7000,Supervisory+RL
325,159060,7000,Supervisory+RL
326,229100,7000,Supervisory+RL
327,89080,7000,Supervisory+RL
328,152070,7000,Supervisory+RL
329,142090,7000,Supervisory+RL
330,209070,7000,Supervisory+RL
331,179160,7000,Supervisory+RL
332,162060,7000,Supervisory+RL
333,205040,7000,Supervisory+RL
334,147960,7000,Supervisory+RL
335,195050,7000,Supervisory+RL
336,202100,7000,Supervisory+RL
337,229050,7000,Supervisory+RL
338,219170,7000,Supervisory+RL
339,145050,7000,Supervisory+RL
340,209160,7000,Supervisory+RL
341,219170,7000,Supervisory+RL
342,209060,7000,Supervisory+RL
343,172030,7000,Supervisory+RL
344,205010,7000,Supervisory+RL
345,179050,7000,Supervisory+RL
346,209160,7000,Supervisory+RL
347,159230,7000,Supervisory+RL
348,169170,7000,Supervisory+RL
349,222010,7000,Supervisory+RL
350,159220,8000,Supervisory+RL
351,161130,8000,Supervisory+RL
352,169160,8000,Supervisory+RL
353,151190,8000,Supervisory+RL
354,199180,8000,Supervisory+RL
355,209140,8000,Supervisory+RL
356,199180,8000,Supervisory+RL
357,151190,8000,Supervisory+RL
358,169140,8000,Supervisory+RL
359,191190,8000,Supervisory+RL
360,209220,8000,Supervisory+RL
361,161130,8000,Supervisory+RL
362,191190,8000,Supervisory+RL
363,159140,8000,Supervisory+RL
364,161130,8000,Supervisory+RL
365,159180,8000,Supervisory+RL
366,183120,8000,Supervisory+RL
367,161130,8000,Supervisory+RL
368,199220,8000,Supervisory+RL
369,159220,8000,Supervisory+RL
370,199180,8000,Supervisory+RL
371,191180,8000,Supervisory+RL
372,159200,8000,Supervisory+RL
373,219060,8000,Supervisory+RL
374,119220,8000,Supervisory+RL
375,179030,8000,Supervisory+RL
376,209080,8000,Supervisory+RL
377,161100,8000,Supervisory+RL
378,154940,8000,Supervisory+RL
379,151170,8000,Supervisory+RL
380,185070,8000,Supervisory+RL
381,175130,8000,Supervisory+RL
382,201080,8000,Supervisory+RL
383,199280,8000,Supervisory+RL
384,155010,8000,Supervisory+RL
385,135080,8000,Supervisory+RL
386,119220,8000,Supervisory+RL
387,201110,8000,Supervisory+RL
388,211130,8000,Supervisory+RL
389,199220,8000,Supervisory+RL
390,143120,8000,Supervisory+RL
391,209160,8000,Supervisory+RL
392,209220,8000,Supervisory+RL
393,209160,8000,Supervisory+RL
394,199190,8000,Supervisory+RL
395,73040,8000,Supervisory+RL
396,199220,8000,Supervisory+RL
397,209140,8000,Supervisory+RL
398,169200,8000,Supervisory+RL
399,133100,8000,Supervisory+RL
400,199180,9000,Supervisory+RL
401,190140,9000,Supervisory+RL
402,160100,9000,Supervisory+RL
403,209140,9000,Supervisory+RL
404,209160,9000,Supervisory+RL
405,199230,9000,Supervisory+RL
406,209170,9000,Supervisory+RL
407,209180,9000,Supervisory+RL
408,209160,9000,Supervisory+RL
409,201040,9000,Supervisory+RL
410,172130,9000,Supervisory+RL
411,150190,9000,Supervisory+RL
412,199180,9000,Supervisory+RL
413,200130,9000,Supervisory+RL
414,209120,9000,Supervisory+RL
415,150210,9000,Supervisory+RL
416,209120,9000,Supervisory+RL
417,209160,9000,Supervisory+RL
418,169160,9000,Supervisory+RL
419,123060,9000,Supervisory+RL
420,150130,9000,Supervisory+RL
421,181160,9000,Supervisory+RL
422,199220,9000,Supervisory+RL
423,191100,9000,Supervisory+RL
424,150200,9000,Supervisory+RL
425,159170,9000,Supervisory+RL
426,190200,9000,Supervisory+RL
427,172090,9000,Supervisory+RL
428,209170,9000,Supervisory+RL
429,190200,9000,Supervisory+RL
430,159170,9000,Supervisory+RL
431,182030,9000,Supervisory+RL
432,159170,9000,Supervisory+RL
433,109120,9000,Supervisory+RL
434,191060,9000,Supervisory+RL
435,190190,9000,Supervisory+RL
