,Number of occurrences,Fail Probability,event
0,3,10,bad_A
1,6,20,bad_A
2,6,30,bad_A
3,10,40,bad_A
4,20,50,bad_A
5,26,60,bad_A
6,26,70,bad_A
7,37,80,bad_A
8,35,90,bad_A
9,62,10,bad_B
10,48,20,bad_B
11,52,30,bad_B
12,67,40,bad_B
13,64,50,bad_B
14,61,60,bad_B
15,55,70,bad_B
16,55,80,bad_B
17,39,90,bad_B
18,45,10,good_A
19,47,20,good_A
20,44,30,good_A
21,38,40,good_A
22,29,50,good_A
23,25,60,good_A
24,17,70,good_A
25,9,80,good_A
26,10,90,good_A
27,90,10,good_B
28,99,20,good_B
29,98,30,good_B
30,85,40,good_B
31,87,50,good_B
32,88,60,good_B
33,102,70,good_B
34,99,80,good_B
35,116,90,good_B
