,mean reward,Fail Probability,method
204,148050,20,SCT
205,219070,20,SCT
206,129040,20,SCT
207,229040,20,SCT
208,159070,20,SCT
209,219070,20,SCT
210,238980,20,SCT
211,187980,20,SCT
212,159110,20,SCT
213,209150,20,SCT
214,227990,20,SCT
215,178130,20,SCT
216,189050,20,SCT
217,168100,20,SCT
218,209170,20,SCT
219,218080,20,SCT
220,129160,30,SCT
221,189050,30,SCT
222,129040,30,SCT
223,119080,30,SCT
224,179060,30,SCT
225,159060,30,SCT
226,129140,30,SCT
227,219100,30,SCT
228,229000,30,SCT
229,179100,30,SCT
230,218040,30,SCT
231,229010,30,SCT
232,159040,30,SCT
233,208110,30,SCT
234,179090,30,SCT
235,119100,30,SCT
236,209160,30,SCT
237,109040,30,SCT
238,119070,30,SCT
239,17970,30,SCT
240,168140,40,SCT
241,219070,40,SCT
242,148000,40,SCT
243,66940,40,SCT
244,209230,40,SCT
245,229050,40,SCT
246,69000,40,SCT
247,189020,40,SCT
248,179060,40,SCT
249,188010,40,SCT
250,178050,40,SCT
251,169030,40,SCT
252,88000,40,SCT
253,179000,40,SCT
254,218080,40,SCT
255,159090,40,SCT
256,178030,40,SCT
257,149170,40,SCT
258,119050,40,SCT
259,169040,40,SCT
260,118940,50,SCT
261,129130,50,SCT
262,158070,50,SCT
263,159100,50,SCT
264,209160,50,SCT
265,238940,50,SCT
266,139160,50,SCT
267,99120,50,SCT
268,237910,50,SCT
269,109040,50,SCT
270,156010,50,SCT
271,159180,50,SCT
272,148130,50,SCT
273,188010,50,SCT
274,218060,50,SCT
275,199190,50,SCT
276,219060,50,SCT
277,88040,50,SCT
278,116930,50,SCT
279,-12030,50,SCT
280,99060,60,SCT
281,45920,60,SCT
282,157000,60,SCT
283,207080,60,SCT
284,229030,60,SCT
285,127910,60,SCT
286,69160,60,SCT
287,47050,60,SCT
288,79090,60,SCT
289,47020,60,SCT
290,166070,60,SCT
291,116920,60,SCT
292,137950,60,SCT
293,166980,60,SCT
294,119100,60,SCT
295,159100,60,SCT
296,118070,60,SCT
297,119080,60,SCT
298,127050,60,SCT
299,107070,60,SCT
300,129090,70,SCT
301,209190,70,SCT
302,209160,70,SCT
303,169130,70,SCT
304,219040,70,SCT
305,107990,70,SCT
306,68030,70,SCT
307,-41030,70,SCT
308,86940,70,SCT
309,148140,70,SCT
310,168120,70,SCT
311,169000,70,SCT
312,99100,70,SCT
313,66940,70,SCT
314,98090,70,SCT
315,196890,70,SCT
316,79100,70,SCT
317,169060,70,SCT
318,78040,70,SCT
319,158070,70,SCT
320,119100,80,SCT
321,97000,80,SCT
322,99110,80,SCT
323,154890,80,SCT
324,159070,80,SCT
325,108070,80,SCT
326,148120,80,SCT
327,167910,80,SCT
328,159070,80,SCT
329,218060,80,SCT
330,99060,80,SCT
331,109140,80,SCT
332,64900,80,SCT
333,59140,80,SCT
334,99070,80,SCT
335,167060,80,SCT
336,149120,80,SCT
337,99130,80,SCT
338,149200,80,SCT
339,57960,80,SCT
340,149160,90,SCT
341,-44090,90,SCT
342,57000,90,SCT
