,mean reward,Machine Cost,method
174,215980,150,Supervisory+RL
175,195430,150,Supervisory+RL
176,208330,150,Supervisory+RL
177,204530,150,Supervisory+RL
178,196790,150,Supervisory+RL
179,205880,150,Supervisory+RL
180,159080,150,Supervisory+RL
181,215300,150,Supervisory+RL
182,158630,150,Supervisory+RL
183,157490,150,Supervisory+RL
184,199080,150,Supervisory+RL
185,162620,150,Supervisory+RL
186,167030,150,Supervisory+RL
187,206730,150,Supervisory+RL
188,207490,150,Supervisory+RL
189,218040,150,Supervisory+RL
190,211490,150,Supervisory+RL
191,207190,150,Supervisory+RL
192,206730,150,Supervisory+RL
193,197020,150,Supervisory+RL
194,208180,150,Supervisory+RL
195,207190,150,Supervisory+RL
196,96180,150,Supervisory+RL
197,142930,150,Supervisory+RL
198,196180,150,Supervisory+RL
199,157490,150,Supervisory+RL
200,195690,200,Supervisory+RL
201,211680,200,Supervisory+RL
202,105290,200,Supervisory+RL
203,195290,200,Supervisory+RL
204,192680,200,Supervisory+RL
205,158070,200,Supervisory+RL
206,195480,200,Supervisory+RL
207,212680,200,Supervisory+RL
208,200670,200,Supervisory+RL
209,143690,200,Supervisory+RL
210,121470,200,Supervisory+RL
211,194690,200,Supervisory+RL
212,201270,200,Supervisory+RL
213,164090,200,Supervisory+RL
214,165290,200,Supervisory+RL
215,194490,200,Supervisory+RL
216,212690,200,Supervisory+RL
217,204090,200,Supervisory+RL
218,201880,200,Supervisory+RL
219,101280,200,Supervisory+RL
220,161280,200,Supervisory+RL
221,202680,200,Supervisory+RL
222,194690,200,Supervisory+RL
223,153880,200,Supervisory+RL
224,141690,200,Supervisory+RL
225,203480,200,Supervisory+RL
226,104280,200,Supervisory+RL
227,202680,200,Supervisory+RL
228,155680,200,Supervisory+RL
229,161480,200,Supervisory+RL
230,200700,200,Supervisory+RL
231,204280,200,Supervisory+RL
232,200490,200,Supervisory+RL
233,195290,200,Supervisory+RL
234,204280,200,Supervisory+RL
235,203080,200,Supervisory+RL
236,144480,200,Supervisory+RL
237,201480,200,Supervisory+RL
238,101080,200,Supervisory+RL
239,162680,200,Supervisory+RL
240,154080,200,Supervisory+RL
241,204480,200,Supervisory+RL
242,141090,200,Supervisory+RL
243,204880,200,Supervisory+RL
244,144090,200,Supervisory+RL
245,120490,200,Supervisory+RL
246,159880,200,Supervisory+RL
247,206680,200,Supervisory+RL
248,209080,200,Supervisory+RL
249,201470,200,Supervisory+RL
250,96600,300,Supervisory+RL
251,136600,300,Supervisory+RL
252,153000,300,Supervisory+RL
253,101800,300,Supervisory+RL
254,144800,300,Supervisory+RL
255,155100,300,Supervisory+RL
256,143600,300,Supervisory+RL
257,184800,300,Supervisory+RL
258,109400,300,Supervisory+RL
259,176000,300,Supervisory+RL
260,54200,300,Supervisory+RL
261,183600,300,Supervisory+RL
262,191200,300,Supervisory+RL
263,192400,300,Supervisory+RL
264,131200,300,Supervisory+RL
265,183900,300,Supervisory+RL
266,160900,300,Supervisory+RL
267,104800,300,Supervisory+RL
268,104800,300,Supervisory+RL
269,184800,300,Supervisory+RL
270,139400,300,Supervisory+RL
271,63600,300,Supervisory+RL
272,66000,300,Supervisory+RL
273,124800,300,Supervisory+RL
274,144800,300,Supervisory+RL
275,152700,300,Supervisory+RL
276,44800,300,Supervisory+RL
277,155100,300,Supervisory+RL
278,95400,300,Supervisory+RL
279,81800,300,Supervisory+RL
280,-45800,300,Supervisory+RL
281,173300,300,Supervisory+RL
282,105400,300,Supervisory+RL
283,184800,300,Supervisory+RL
284,132700,300,Supervisory+RL
285,162100,300,Supervisory+RL
286,128500,300,Supervisory+RL
287,154200,300,Supervisory+RL
288,130000,300,Supervisory+RL
289,43300,300,Supervisory+RL
290,168800,300,Supervisory+RL
291,73900,300,Supervisory+RL
292,175700,300,Supervisory+RL
293,200900,300,Supervisory+RL
294,184800,300,Supervisory+RL
295,154800,300,Supervisory+RL
296,145700,300,Supervisory+RL
297,184800,300,Supervisory+RL
