,Rejection Type 1 Probability,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,12,319,119,50
1,20.0,15,334,111,40
2,30.0,35,319,102,44
3,40.0,43,319,91,47
4,50.0,41,343,81,35
5,60.0,71,318,57,54
6,70.0,82,326,53,39
7,80.0,102,329,32,37
8,90.0,129,318,14,39
