,Rejection Type 1 Probability,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,13,14,259,214
1,20.0,31,12,228,229
2,30.0,51,8,195,246
3,40.0,71,10,175,244
4,50.0,92,13,152,243
5,60.0,97,9,158,236
6,70.0,152,15,104,229
7,80.0,168,11,79,242
8,90.0,203,12,44,241
