,Rejection Type 1 Probability,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,0,48,0,452
1,20.0,0,58,0,442
2,30.0,0,39,0,461
3,40.0,0,48,0,452
4,50.0,0,50,0,450
5,60.0,0,41,0,459
6,70.0,0,56,0,444
7,80.0,0,52,0,448
8,90.0,0,42,0,458
