,Rejection Type 1 Probability,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,9,196,247,48
1,20.0,16,181,259,44
2,30.0,23,189,238,50
3,40.0,32,237,186,45
4,50.0,29,206,210,55
5,60.0,40,253,150,57
6,70.0,99,184,165,52
7,80.0,132,220,103,45
8,90.0,128,278,36,58
