,mean reward,Rejection Type 1 Probability,method
0,204760,10.0,Supervisory+RL
1,247890,10.0,Supervisory+RL
2,135950,10.0,Supervisory+RL
3,194820,10.0,Supervisory+RL
4,196970,10.0,Supervisory+RL
5,155950,10.0,Supervisory+RL
6,194870,10.0,Supervisory+RL
7,183950,10.0,Supervisory+RL
8,239030,10.0,Supervisory+RL
9,205860,10.0,Supervisory+RL
10,207970,10.0,Supervisory+RL
11,115890,10.0,Supervisory+RL
12,238020,10.0,Supervisory+RL
13,92760,10.0,Supervisory+RL
14,194860,10.0,Supervisory+RL
15,189050,10.0,Supervisory+RL
16,57040,10.0,Supervisory+RL
17,227990,10.0,Supervisory+RL
18,233830,10.0,Supervisory+RL
19,94760,10.0,Supervisory+RL
20,196960,10.0,Supervisory+RL
21,192840,10.0,Supervisory+RL
22,203730,10.0,Supervisory+RL
23,195950,10.0,Supervisory+RL
24,104950,10.0,Supervisory+RL
25,93930,10.0,Supervisory+RL
26,234880,10.0,Supervisory+RL
27,163720,10.0,Supervisory+RL
28,105970,10.0,Supervisory+RL
29,208970,10.0,Supervisory+RL
30,193710,10.0,Supervisory+RL
31,185950,10.0,Supervisory+RL
32,212980,10.0,Supervisory+RL
33,154860,10.0,Supervisory+RL
34,197980,10.0,Supervisory+RL
35,165900,10.0,Supervisory+RL
36,241790,10.0,Supervisory+RL
37,195890,10.0,Supervisory+RL
38,226980,10.0,Supervisory+RL
39,143840,10.0,Supervisory+RL
40,188010,10.0,Supervisory+RL
41,247880,10.0,Supervisory+RL
42,184920,10.0,Supervisory+RL
43,189710,10.0,Supervisory+RL
44,193780,10.0,Supervisory+RL
45,234860,10.0,Supervisory+RL
46,166900,10.0,Supervisory+RL
47,143940,10.0,Supervisory+RL
48,156880,10.0,Supervisory+RL
49,244870,10.0,Supervisory+RL
50,108990,20.0,Supervisory+RL
51,134880,20.0,Supervisory+RL
52,132920,20.0,Supervisory+RL
53,197900,20.0,Supervisory+RL
54,226920,20.0,Supervisory+RL
55,103950,20.0,Supervisory+RL
56,127990,20.0,Supervisory+RL
57,157960,20.0,Supervisory+RL
58,172700,20.0,Supervisory+RL
59,167970,20.0,Supervisory+RL
60,86070,20.0,Supervisory+RL
61,145880,20.0,Supervisory+RL
62,86980,20.0,Supervisory+RL
63,185950,20.0,Supervisory+RL
64,233780,20.0,Supervisory+RL
65,88010,20.0,Supervisory+RL
66,105940,20.0,Supervisory+RL
67,820,20.0,Supervisory+RL
68,103830,20.0,Supervisory+RL
69,217900,20.0,Supervisory+RL
70,157930,20.0,Supervisory+RL
71,103890,20.0,Supervisory+RL
72,187920,20.0,Supervisory+RL
73,128940,20.0,Supervisory+RL
74,83930,20.0,Supervisory+RL
75,133910,20.0,Supervisory+RL
76,86860,20.0,Supervisory+RL
77,48990,20.0,Supervisory+RL
78,148020,20.0,Supervisory+RL
79,127100,20.0,Supervisory+RL
80,226960,20.0,Supervisory+RL
81,165830,20.0,Supervisory+RL
82,204760,20.0,Supervisory+RL
83,193870,20.0,Supervisory+RL
84,121780,20.0,Supervisory+RL
85,195890,20.0,Supervisory+RL
86,135970,20.0,Supervisory+RL
87,44900,20.0,Supervisory+RL
88,177020,20.0,Supervisory+RL
89,147980,20.0,Supervisory+RL
90,204760,20.0,Supervisory+RL
91,186010,20.0,Supervisory+RL
92,144920,20.0,Supervisory+RL
93,156840,20.0,Supervisory+RL
94,103860,20.0,Supervisory+RL
95,207850,20.0,Supervisory+RL
96,176750,20.0,Supervisory+RL
97,196830,20.0,Supervisory+RL
98,143970,20.0,Supervisory+RL
99,199040,20.0,Supervisory+RL
100,160800,30.0,Supervisory+RL
101,104920,30.0,Supervisory+RL
102,118070,30.0,Supervisory+RL
103,126920,30.0,Supervisory+RL
104,134950,30.0,Supervisory+RL
105,152860,30.0,Supervisory+RL
106,93880,30.0,Supervisory+RL
107,94950,30.0,Supervisory+RL
108,163990,30.0,Supervisory+RL
109,190760,30.0,Supervisory+RL
110,124010,30.0,Supervisory+RL
111,117040,30.0,Supervisory+RL
112,132880,30.0,Supervisory+RL
113,140800,30.0,Supervisory+RL
114,145830,30.0,Supervisory+RL
115,182860,30.0,Supervisory+RL
116,64920,30.0,Supervisory+RL
117,175910,30.0,Supervisory+RL
118,121910,30.0,Supervisory+RL
119,14960,30.0,Supervisory+RL
120,172830,30.0,Supervisory+RL
121,132920,30.0,Supervisory+RL
122,179100,30.0,Supervisory+RL
123,147970,30.0,Supervisory+RL
124,128010,30.0,Supervisory+RL
125,-880,30.0,Supervisory+RL
126,-3990,30.0,Supervisory+RL
127,175910,30.0,Supervisory+RL
128,145950,30.0,Supervisory+RL
129,138070,30.0,Supervisory+RL
