,Rejection Type 1 Probability,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,9,158,120,213
1,20.0,11,161,114,214
2,30.0,38,165,88,209
3,40.0,32,171,80,217
4,50.0,64,152,70,214
5,60.0,74,152,58,216
6,70.0,82,182,48,188
7,80.0,98,161,31,210
8,90.0,115,146,19,220
