,mean reward,Rejection Type 1 Probability,method
154,219100,40.0,Supervisory+RL
155,219150,40.0,Supervisory+RL
156,219110,40.0,Supervisory+RL
157,218130,40.0,Supervisory+RL
158,164820,40.0,Supervisory+RL
159,228010,40.0,Supervisory+RL
160,226980,40.0,Supervisory+RL
161,219100,40.0,Supervisory+RL
162,155990,40.0,Supervisory+RL
163,217040,40.0,Supervisory+RL
164,215970,40.0,Supervisory+RL
165,216960,40.0,Supervisory+RL
166,125950,40.0,Supervisory+RL
167,224930,40.0,Supervisory+RL
168,206070,40.0,Supervisory+RL
169,118070,40.0,Supervisory+RL
170,209090,40.0,Supervisory+RL
171,186950,40.0,Supervisory+RL
172,168040,40.0,Supervisory+RL
173,157040,40.0,Supervisory+RL
174,175970,40.0,Supervisory+RL
175,168080,40.0,Supervisory+RL
176,208130,40.0,Supervisory+RL
177,219100,40.0,Supervisory+RL
178,88130,40.0,Supervisory+RL
179,106070,40.0,Supervisory+RL
180,217000,40.0,Supervisory+RL
181,226980,40.0,Supervisory+RL
182,198190,40.0,Supervisory+RL
183,169160,40.0,Supervisory+RL
184,228010,40.0,Supervisory+RL
185,218090,40.0,Supervisory+RL
186,164940,40.0,Supervisory+RL
187,138020,40.0,Supervisory+RL
188,217090,40.0,Supervisory+RL
189,225950,40.0,Supervisory+RL
190,219120,40.0,Supervisory+RL
191,175040,40.0,Supervisory+RL
192,208140,40.0,Supervisory+RL
193,216010,40.0,Supervisory+RL
194,106070,40.0,Supervisory+RL
195,159160,40.0,Supervisory+RL
196,227000,40.0,Supervisory+RL
197,118070,40.0,Supervisory+RL
198,219170,40.0,Supervisory+RL
199,107970,40.0,Supervisory+RL
200,159180,50.0,Supervisory+RL
201,199150,50.0,Supervisory+RL
202,199220,50.0,Supervisory+RL
203,198150,50.0,Supervisory+RL
204,199220,50.0,Supervisory+RL
205,199170,50.0,Supervisory+RL
206,159130,50.0,Supervisory+RL
207,119220,50.0,Supervisory+RL
208,159180,50.0,Supervisory+RL
209,199220,50.0,Supervisory+RL
210,199220,50.0,Supervisory+RL
211,79280,50.0,Supervisory+RL
212,159270,50.0,Supervisory+RL
213,199230,50.0,Supervisory+RL
214,198190,50.0,Supervisory+RL
215,159200,50.0,Supervisory+RL
216,159230,50.0,Supervisory+RL
217,198190,50.0,Supervisory+RL
218,199230,50.0,Supervisory+RL
219,159170,50.0,Supervisory+RL
220,159260,50.0,Supervisory+RL
