,mean reward,Rejection Type 1 Probability,method
154,218030,40.0,Supervisory+RL
155,157110,40.0,Supervisory+RL
156,207070,40.0,Supervisory+RL
157,209160,40.0,Supervisory+RL
158,199160,40.0,Supervisory+RL
159,154970,40.0,Supervisory+RL
160,159280,40.0,Supervisory+RL
161,159180,40.0,Supervisory+RL
162,118090,40.0,Supervisory+RL
163,157060,40.0,Supervisory+RL
164,209230,40.0,Supervisory+RL
165,208130,40.0,Supervisory+RL
166,197180,40.0,Supervisory+RL
167,137050,40.0,Supervisory+RL
168,208130,40.0,Supervisory+RL
169,209220,40.0,Supervisory+RL
170,218150,40.0,Supervisory+RL
171,209120,40.0,Supervisory+RL
172,166930,40.0,Supervisory+RL
173,159220,40.0,Supervisory+RL
174,209160,40.0,Supervisory+RL
175,209220,40.0,Supervisory+RL
176,199170,40.0,Supervisory+RL
177,168080,40.0,Supervisory+RL
178,199170,40.0,Supervisory+RL
179,155100,40.0,Supervisory+RL
180,148070,40.0,Supervisory+RL
181,149120,40.0,Supervisory+RL
182,168090,40.0,Supervisory+RL
183,217040,40.0,Supervisory+RL
184,155970,40.0,Supervisory+RL
185,158110,40.0,Supervisory+RL
186,108190,40.0,Supervisory+RL
187,199160,40.0,Supervisory+RL
188,157060,40.0,Supervisory+RL
189,207050,40.0,Supervisory+RL
190,208150,40.0,Supervisory+RL
191,218030,40.0,Supervisory+RL
192,206070,40.0,Supervisory+RL
193,156050,40.0,Supervisory+RL
194,119150,40.0,Supervisory+RL
195,208140,40.0,Supervisory+RL
196,209020,40.0,Supervisory+RL
197,199240,40.0,Supervisory+RL
198,209140,40.0,Supervisory+RL
199,79260,40.0,Supervisory+RL
200,128110,50.0,Supervisory+RL
201,172920,50.0,Supervisory+RL
202,209050,50.0,Supervisory+RL
203,207070,50.0,Supervisory+RL
204,209220,50.0,Supervisory+RL
205,169160,50.0,Supervisory+RL
206,168130,50.0,Supervisory+RL
207,199180,50.0,Supervisory+RL
208,208190,50.0,Supervisory+RL
209,167050,50.0,Supervisory+RL
210,116010,50.0,Supervisory+RL
211,209100,50.0,Supervisory+RL
212,209160,50.0,Supervisory+RL
213,166030,50.0,Supervisory+RL
214,203960,50.0,Supervisory+RL
215,177040,50.0,Supervisory+RL
216,207070,50.0,Supervisory+RL
217,209170,50.0,Supervisory+RL
218,119300,50.0,Supervisory+RL
219,169230,50.0,Supervisory+RL
220,168210,50.0,Supervisory+RL
221,127080,50.0,Supervisory+RL
222,199200,50.0,Supervisory+RL
223,169240,50.0,Supervisory+RL
224,215970,50.0,Supervisory+RL
225,199220,50.0,Supervisory+RL
226,179160,50.0,Supervisory+RL
227,159250,50.0,Supervisory+RL
228,129160,50.0,Supervisory+RL
229,198190,50.0,Supervisory+RL
230,208130,50.0,Supervisory+RL
231,221830,50.0,Supervisory+RL
232,127100,50.0,Supervisory+RL
233,209190,50.0,Supervisory+RL
234,218110,50.0,Supervisory+RL
235,199180,50.0,Supervisory+RL
236,129120,50.0,Supervisory+RL
237,209120,50.0,Supervisory+RL
238,208120,50.0,Supervisory+RL
239,159300,50.0,Supervisory+RL
240,207160,50.0,Supervisory+RL
241,218110,50.0,Supervisory+RL
242,199160,50.0,Supervisory+RL
243,118130,50.0,Supervisory+RL
244,108130,50.0,Supervisory+RL
245,209120,50.0,Supervisory+RL
246,209160,50.0,Supervisory+RL
247,198090,50.0,Supervisory+RL
248,168090,50.0,Supervisory+RL
249,167100,50.0,Supervisory+RL
250,106070,60.0,Supervisory+RL
251,148090,60.0,Supervisory+RL
252,148100,60.0,Supervisory+RL
253,156010,60.0,Supervisory+RL
254,155070,60.0,Supervisory+RL
255,209070,60.0,Supervisory+RL
256,214980,60.0,Supervisory+RL
257,208130,60.0,Supervisory+RL
258,175920,60.0,Supervisory+RL
259,208130,60.0,Supervisory+RL
260,207100,60.0,Supervisory+RL
261,158150,60.0,Supervisory+RL
262,148070,60.0,Supervisory+RL
263,176990,60.0,Supervisory+RL
264,147060,60.0,Supervisory+RL
265,198150,60.0,Supervisory+RL
266,159220,60.0,Supervisory+RL
267,159140,60.0,Supervisory+RL
268,159190,60.0,Supervisory+RL
269,209160,60.0,Supervisory+RL
270,147050,60.0,Supervisory+RL
271,168090,60.0,Supervisory+RL
272,168160,60.0,Supervisory+RL
273,158070,60.0,Supervisory+RL
274,198190,60.0,Supervisory+RL
275,198150,60.0,Supervisory+RL
276,198190,60.0,Supervisory+RL
277,149160,60.0,Supervisory+RL
278,169160,60.0,Supervisory+RL
279,149090,60.0,Supervisory+RL
280,172950,60.0,Supervisory+RL
281,199220,60.0,Supervisory+RL
282,206050,60.0,Supervisory+RL
283,157000,60.0,Supervisory+RL
284,209160,60.0,Supervisory+RL
285,199230,60.0,Supervisory+RL
286,178090,60.0,Supervisory+RL
287,199220,60.0,Supervisory+RL
288,218010,60.0,Supervisory+RL
289,169180,60.0,Supervisory+RL
290,207100,60.0,Supervisory+RL
291,216010,60.0,Supervisory+RL
292,197160,60.0,Supervisory+RL
293,208100,60.0,Supervisory+RL
294,209130,60.0,Supervisory+RL
295,148130,60.0,Supervisory+RL
296,147020,60.0,Supervisory+RL
297,197160,60.0,Supervisory+RL
298,119170,60.0,Supervisory+RL
299,148100,60.0,Supervisory+RL
300,209160,70.0,Supervisory+RL
301,208130,70.0,Supervisory+RL
302,158150,70.0,Supervisory+RL
303,147100,70.0,Supervisory+RL
304,208130,70.0,Supervisory+RL
305,148100,70.0,Supervisory+RL
306,209220,70.0,Supervisory+RL
307,198190,70.0,Supervisory+RL
308,155960,70.0,Supervisory+RL
309,157160,70.0,Supervisory+RL
310,158190,70.0,Supervisory+RL
311,198160,70.0,Supervisory+RL
312,118190,70.0,Supervisory+RL
313,197120,70.0,Supervisory+RL
314,208130,70.0,Supervisory+RL
315,195020,70.0,Supervisory+RL
316,148130,70.0,Supervisory+RL
317,199140,70.0,Supervisory+RL
318,159220,70.0,Supervisory+RL
319,207100,70.0,Supervisory+RL
320,209220,70.0,Supervisory+RL
321,198190,70.0,Supervisory+RL
322,199150,70.0,Supervisory+RL
323,159180,70.0,Supervisory+RL
324,198190,70.0,Supervisory+RL
325,199220,70.0,Supervisory+RL
326,199180,70.0,Supervisory+RL
327,207100,70.0,Supervisory+RL
328,198190,70.0,Supervisory+RL
329,197160,70.0,Supervisory+RL
330,148100,70.0,Supervisory+RL
331,119180,70.0,Supervisory+RL
332,158190,70.0,Supervisory+RL
333,76000,70.0,Supervisory+RL
334,119200,70.0,Supervisory+RL
335,199220,70.0,Supervisory+RL
336,145970,70.0,Supervisory+RL
337,108090,70.0,Supervisory+RL
338,199220,70.0,Supervisory+RL
339,148130,70.0,Supervisory+RL
340,198120,70.0,Supervisory+RL
341,209070,70.0,Supervisory+RL
342,159170,70.0,Supervisory+RL
343,159220,70.0,Supervisory+RL
344,119220,70.0,Supervisory+RL
345,198190,70.0,Supervisory+RL
346,198130,70.0,Supervisory+RL
347,198190,70.0,Supervisory+RL
348,147100,70.0,Supervisory+RL
349,107060,70.0,Supervisory+RL
350,173950,80.0,Supervisory+RL
351,199220,80.0,Supervisory+RL
