,mean reward,Machine Cost,method
174,140000,300,Supervisory+RL
175,190100,300,Supervisory+RL
176,193600,300,Supervisory+RL
177,191100,300,Supervisory+RL
178,191700,300,Supervisory+RL
179,191100,300,Supervisory+RL
180,181400,300,Supervisory+RL
181,197500,300,Supervisory+RL
182,197000,300,Supervisory+RL
183,192100,300,Supervisory+RL
184,201100,300,Supervisory+RL
185,191500,300,Supervisory+RL
186,187200,300,Supervisory+RL
187,194800,300,Supervisory+RL
188,147700,300,Supervisory+RL
189,186100,300,Supervisory+RL
190,187300,300,Supervisory+RL
191,192300,300,Supervisory+RL
192,181000,300,Supervisory+RL
193,145400,300,Supervisory+RL
194,194200,300,Supervisory+RL
195,189200,300,Supervisory+RL
196,193000,300,Supervisory+RL
197,210600,300,Supervisory+RL
198,192400,300,Supervisory+RL
199,181000,300,Supervisory+RL
200,165200,400,Supervisory+RL
201,127200,400,Supervisory+RL
202,126600,400,Supervisory+RL
203,126400,400,Supervisory+RL
204,165600,400,Supervisory+RL
205,165200,400,Supervisory+RL
206,127200,400,Supervisory+RL
207,125000,400,Supervisory+RL
208,169200,400,Supervisory+RL
209,128800,400,Supervisory+RL
210,163600,400,Supervisory+RL
211,182600,400,Supervisory+RL
212,136400,400,Supervisory+RL
213,169600,400,Supervisory+RL
214,174200,400,Supervisory+RL
215,166600,400,Supervisory+RL
216,163400,400,Supervisory+RL
217,166600,400,Supervisory+RL
218,164400,400,Supervisory+RL
219,176400,400,Supervisory+RL
220,126800,400,Supervisory+RL
221,172600,400,Supervisory+RL
222,171400,400,Supervisory+RL
223,166600,400,Supervisory+RL
224,92200,400,Supervisory+RL
225,184400,400,Supervisory+RL
226,166600,400,Supervisory+RL
227,167000,400,Supervisory+RL
228,172000,400,Supervisory+RL
229,87200,400,Supervisory+RL
230,126600,400,Supervisory+RL
231,169600,400,Supervisory+RL
232,171000,400,Supervisory+RL
233,178800,400,Supervisory+RL
234,88800,400,Supervisory+RL
235,169800,400,Supervisory+RL
236,168800,400,Supervisory+RL
237,176400,400,Supervisory+RL
238,123400,400,Supervisory+RL
239,165600,400,Supervisory+RL
240,168800,400,Supervisory+RL
241,174200,400,Supervisory+RL
242,176400,400,Supervisory+RL
243,124800,400,Supervisory+RL
244,55000,400,Supervisory+RL
245,168800,400,Supervisory+RL
246,162800,400,Supervisory+RL
247,165200,400,Supervisory+RL
248,124000,400,Supervisory+RL
249,162800,400,Supervisory+RL
250,136500,500,Supervisory+RL
251,88000,500,Supervisory+RL
252,96000,500,Supervisory+RL
253,127500,500,Supervisory+RL
254,123000,500,Supervisory+RL
255,163500,500,Supervisory+RL
256,123000,500,Supervisory+RL
257,168500,500,Supervisory+RL
258,179500,500,Supervisory+RL
259,180500,500,Supervisory+RL
260,167000,500,Supervisory+RL
261,84000,500,Supervisory+RL
262,168500,500,Supervisory+RL
263,66000,500,Supervisory+RL
264,141000,500,Supervisory+RL
265,171000,500,Supervisory+RL
