,mean reward,Rejection Type 1 Probability,method
0,85850,10.0,Supervisory+RL
1,74540,10.0,Supervisory+RL
2,15910,10.0,Supervisory+RL
3,33830,10.0,Supervisory+RL
4,34830,10.0,Supervisory+RL
5,85730,10.0,Supervisory+RL
6,130640,10.0,Supervisory+RL
7,31640,10.0,Supervisory+RL
8,-14170,10.0,Supervisory+RL
9,123680,10.0,Supervisory+RL
10,93750,10.0,Supervisory+RL
11,174760,10.0,Supervisory+RL
12,79550,10.0,Supervisory+RL
13,125850,10.0,Supervisory+RL
14,142600,10.0,Supervisory+RL
15,130570,10.0,Supervisory+RL
16,21670,10.0,Supervisory+RL
17,-9360,10.0,Supervisory+RL
18,80680,10.0,Supervisory+RL
19,-12390,10.0,Supervisory+RL
20,81750,10.0,Supervisory+RL
21,113750,10.0,Supervisory+RL
22,146780,10.0,Supervisory+RL
23,80680,10.0,Supervisory+RL
24,86860,10.0,Supervisory+RL
25,-23440,10.0,Supervisory+RL
26,34740,10.0,Supervisory+RL
27,83670,10.0,Supervisory+RL
28,11770,10.0,Supervisory+RL
29,127830,10.0,Supervisory+RL
30,83830,10.0,Supervisory+RL
31,44800,10.0,Supervisory+RL
32,94810,10.0,Supervisory+RL
33,136880,10.0,Supervisory+RL
34,215750,10.0,Supervisory+RL
35,94740,10.0,Supervisory+RL
36,-70330,10.0,Supervisory+RL
37,132760,10.0,Supervisory+RL
38,123770,10.0,Supervisory+RL
39,-5170,10.0,Supervisory+RL
40,122800,10.0,Supervisory+RL
41,28630,10.0,Supervisory+RL
42,22660,10.0,Supervisory+RL
43,26900,10.0,Supervisory+RL
44,124750,10.0,Supervisory+RL
45,134750,10.0,Supervisory+RL
46,131700,10.0,Supervisory+RL
47,35890,10.0,Supervisory+RL
48,93770,10.0,Supervisory+RL
49,96800,10.0,Supervisory+RL
50,162810,20.0,Supervisory+RL
51,82650,20.0,Supervisory+RL
52,41630,20.0,Supervisory+RL
53,67510,20.0,Supervisory+RL
54,11490,20.0,Supervisory+RL
55,79610,20.0,Supervisory+RL
56,-6190,20.0,Supervisory+RL
57,41670,20.0,Supervisory+RL
58,174780,20.0,Supervisory+RL
59,42690,20.0,Supervisory+RL
60,-22410,20.0,Supervisory+RL
61,115730,20.0,Supervisory+RL
62,31650,20.0,Supervisory+RL
63,116520,20.0,Supervisory+RL
64,12680,20.0,Supervisory+RL
65,42700,20.0,Supervisory+RL
66,136780,20.0,Supervisory+RL
67,118020,20.0,Supervisory+RL
68,123670,20.0,Supervisory+RL
69,147780,20.0,Supervisory+RL
70,166820,20.0,Supervisory+RL
71,17590,20.0,Supervisory+RL
72,113720,20.0,Supervisory+RL
73,95780,20.0,Supervisory+RL
74,184730,20.0,Supervisory+RL
75,144700,20.0,Supervisory+RL
76,172750,20.0,Supervisory+RL
77,74780,20.0,Supervisory+RL
78,81780,20.0,Supervisory+RL
79,-20410,20.0,Supervisory+RL
80,216800,20.0,Supervisory+RL
81,89540,20.0,Supervisory+RL
82,-3180,20.0,Supervisory+RL
83,79590,20.0,Supervisory+RL
84,133670,20.0,Supervisory+RL
85,148840,20.0,Supervisory+RL
86,131680,20.0,Supervisory+RL
87,36880,20.0,Supervisory+RL
88,79660,20.0,Supervisory+RL
89,96820,20.0,Supervisory+RL
90,79620,20.0,Supervisory+RL
91,-14460,20.0,Supervisory+RL
92,184700,20.0,Supervisory+RL
93,81600,20.0,Supervisory+RL
94,76940,20.0,Supervisory+RL
95,44850,20.0,Supervisory+RL
96,-22270,20.0,Supervisory+RL
97,-15230,20.0,Supervisory+RL
98,127790,20.0,Supervisory+RL
99,91610,20.0,Supervisory+RL
100,162780,30.0,Supervisory+RL
101,11660,30.0,Supervisory+RL
102,7430,30.0,Supervisory+RL
103,44770,30.0,Supervisory+RL
104,24800,30.0,Supervisory+RL
105,60630,30.0,Supervisory+RL
106,83720,30.0,Supervisory+RL
107,92470,30.0,Supervisory+RL
108,25840,30.0,Supervisory+RL
109,17950,30.0,Supervisory+RL
110,113740,30.0,Supervisory+RL
111,84690,30.0,Supervisory+RL
112,80600,30.0,Supervisory+RL
113,32700,30.0,Supervisory+RL
