,Rejection Type 1 Probability,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,3,59,192,246
1,20.0,8,94,169,229
2,30.0,15,94,108,283
3,40.0,5,106,79,310
4,50.0,20,118,92,270
5,60.0,47,111,90,252
6,70.0,53,105,78,264
7,80.0,38,93,46,323
8,90.0,68,119,33,280
