,mean reward,Rejection Type 1 Cost,method
163,219120,27500,Supervisory+RL
164,208040,27500,Supervisory+RL
165,219100,27500,Supervisory+RL
166,219100,27500,Supervisory+RL
167,139040,27500,Supervisory+RL
168,188010,27500,Supervisory+RL
169,219120,27500,Supervisory+RL
170,218110,27500,Supervisory+RL
171,186960,27500,Supervisory+RL
172,228940,27500,Supervisory+RL
173,169140,27500,Supervisory+RL
174,219160,27500,Supervisory+RL
175,138040,27500,Supervisory+RL
176,209160,27500,Supervisory+RL
177,139110,27500,Supervisory+RL
178,209160,27500,Supervisory+RL
179,218140,27500,Supervisory+RL
180,217020,27500,Supervisory+RL
181,218030,27500,Supervisory+RL
182,209140,27500,Supervisory+RL
183,199210,27500,Supervisory+RL
184,229090,27500,Supervisory+RL
185,185950,27500,Supervisory+RL
186,219160,27500,Supervisory+RL
187,169130,27500,Supervisory+RL
188,208080,27500,Supervisory+RL
189,217040,27500,Supervisory+RL
190,219040,27500,Supervisory+RL
191,208070,27500,Supervisory+RL
192,219050,27500,Supervisory+RL
193,186980,27500,Supervisory+RL
194,179080,27500,Supervisory+RL
195,215920,27500,Supervisory+RL
196,171510,27500,Supervisory+RL
197,218030,27500,Supervisory+RL
198,218030,27500,Supervisory+RL
199,218140,27500,Supervisory+RL
200,199240,30000,Supervisory+RL
201,209220,30000,Supervisory+RL
202,199220,30000,Supervisory+RL
203,219100,30000,Supervisory+RL
204,199180,30000,Supervisory+RL
205,158110,30000,Supervisory+RL
206,139120,30000,Supervisory+RL
207,208170,30000,Supervisory+RL
208,78020,30000,Supervisory+RL
209,169150,30000,Supervisory+RL
210,206010,30000,Supervisory+RL
211,167050,30000,Supervisory+RL
212,198150,30000,Supervisory+RL
213,218070,30000,Supervisory+RL
214,219070,30000,Supervisory+RL
215,209210,30000,Supervisory+RL
216,209170,30000,Supervisory+RL
217,209180,30000,Supervisory+RL
218,159220,30000,Supervisory+RL
219,218090,30000,Supervisory+RL
220,209160,30000,Supervisory+RL
221,208140,30000,Supervisory+RL
222,169100,30000,Supervisory+RL
223,207080,30000,Supervisory+RL
224,214940,30000,Supervisory+RL
225,208140,30000,Supervisory+RL
226,169160,30000,Supervisory+RL
227,208210,30000,Supervisory+RL
228,209140,30000,Supervisory+RL
229,178030,30000,Supervisory+RL
230,129120,30000,Supervisory+RL
231,138070,30000,Supervisory+RL
232,219120,30000,Supervisory+RL
233,167100,30000,Supervisory+RL
234,209160,30000,Supervisory+RL
235,219080,30000,Supervisory+RL
236,138020,30000,Supervisory+RL
237,209040,30000,Supervisory+RL
238,229020,30000,Supervisory+RL
239,118210,30000,Supervisory+RL
240,199220,30000,Supervisory+RL
241,158190,30000,Supervisory+RL
242,168150,30000,Supervisory+RL
243,158040,30000,Supervisory+RL
244,208210,30000,Supervisory+RL
245,199290,30000,Supervisory+RL
246,199230,30000,Supervisory+RL
247,169180,30000,Supervisory+RL
248,198170,30000,Supervisory+RL
249,218130,30000,Supervisory+RL
250,218070,32500,Supervisory+RL
251,227970,32500,Supervisory+RL
252,219100,32500,Supervisory+RL
253,172300,32500,Supervisory+RL
254,226980,32500,Supervisory+RL
255,228020,32500,Supervisory+RL
256,219100,32500,Supervisory+RL
257,208070,32500,Supervisory+RL
258,218000,32500,Supervisory+RL
259,218070,32500,Supervisory+RL
260,135530,32500,Supervisory+RL
261,229040,32500,Supervisory+RL
262,177040,32500,Supervisory+RL
263,239040,32500,Supervisory+RL
264,219100,32500,Supervisory+RL
265,154560,32500,Supervisory+RL
266,229110,32500,Supervisory+RL
267,227990,32500,Supervisory+RL
268,228040,32500,Supervisory+RL
269,219070,32500,Supervisory+RL
270,126530,32500,Supervisory+RL
271,228030,32500,Supervisory+RL
272,233830,32500,Supervisory+RL
273,239020,32500,Supervisory+RL
274,228010,32500,Supervisory+RL
275,209220,32500,Supervisory+RL
276,228050,32500,Supervisory+RL
277,229040,32500,Supervisory+RL
278,228030,32500,Supervisory+RL
279,228060,32500,Supervisory+RL
280,187050,32500,Supervisory+RL
281,179120,32500,Supervisory+RL
282,226920,32500,Supervisory+RL
283,217050,32500,Supervisory+RL
284,206820,32500,Supervisory+RL
285,129120,32500,Supervisory+RL
286,138990,32500,Supervisory+RL
287,218070,32500,Supervisory+RL
288,219120,32500,Supervisory+RL
289,229090,32500,Supervisory+RL
290,229040,32500,Supervisory+RL
291,228030,32500,Supervisory+RL
292,229040,32500,Supervisory+RL
293,219140,32500,Supervisory+RL
294,229060,32500,Supervisory+RL
295,229090,32500,Supervisory+RL
296,218060,32500,Supervisory+RL
297,168170,32500,Supervisory+RL
298,229110,32500,Supervisory+RL
299,228010,32500,Supervisory+RL
300,218110,35000,Supervisory+RL
301,169160,35000,Supervisory+RL
302,207180,35000,Supervisory+RL
303,214940,35000,Supervisory+RL
304,218100,35000,Supervisory+RL
305,129180,35000,Supervisory+RL
306,129200,35000,Supervisory+RL
307,178080,35000,Supervisory+RL
308,179140,35000,Supervisory+RL
309,199280,35000,Supervisory+RL
310,198190,35000,Supervisory+RL
311,128210,35000,Supervisory+RL
312,199230,35000,Supervisory+RL
313,236930,35000,Supervisory+RL
314,198180,35000,Supervisory+RL
315,187930,35000,Supervisory+RL
316,188010,35000,Supervisory+RL
317,142050,35000,Supervisory+RL
318,178070,35000,Supervisory+RL
319,207120,35000,Supervisory+RL
320,105950,35000,Supervisory+RL
321,209200,35000,Supervisory+RL
322,168080,35000,Supervisory+RL
323,169170,35000,Supervisory+RL
324,209170,35000,Supervisory+RL
325,218120,35000,Supervisory+RL
326,209120,35000,Supervisory+RL
327,217070,35000,Supervisory+RL
328,188060,35000,Supervisory+RL
329,118190,35000,Supervisory+RL
330,209200,35000,Supervisory+RL
331,198240,35000,Supervisory+RL
332,168160,35000,Supervisory+RL
333,179130,35000,Supervisory+RL
334,167160,35000,Supervisory+RL
335,199230,35000,Supervisory+RL
336,169160,35000,Supervisory+RL
337,209190,35000,Supervisory+RL
338,209180,35000,Supervisory+RL
339,179150,35000,Supervisory+RL
340,238950,35000,Supervisory+RL
341,159240,35000,Supervisory+RL
342,229120,35000,Supervisory+RL
343,219100,35000,Supervisory+RL
344,218070,35000,Supervisory+RL
345,178050,35000,Supervisory+RL
346,179100,35000,Supervisory+RL
347,169190,35000,Supervisory+RL
348,168210,35000,Supervisory+RL
349,169230,35000,Supervisory+RL
350,169130,37500,Supervisory+RL
351,208100,37500,Supervisory+RL
352,199200,37500,Supervisory+RL
353,71550,37500,Supervisory+RL
354,169220,37500,Supervisory+RL
355,199220,37500,Supervisory+RL
356,169130,37500,Supervisory+RL
357,166070,37500,Supervisory+RL
358,209180,37500,Supervisory+RL
359,199170,37500,Supervisory+RL
