,mean reward,Approval Type 1 Cost,method
163,206740,30000,Supervisory+RL
164,214100,30000,Supervisory+RL
165,211880,30000,Supervisory+RL
166,213070,30000,Supervisory+RL
167,205630,30000,Supervisory+RL
168,221540,30000,Supervisory+RL
169,221560,30000,Supervisory+RL
170,220590,30000,Supervisory+RL
171,221550,30000,Supervisory+RL
172,214100,30000,Supervisory+RL
173,229050,30000,Supervisory+RL
174,164060,30000,Supervisory+RL
175,214060,30000,Supervisory+RL
176,182800,30000,Supervisory+RL
177,220510,30000,Supervisory+RL
178,206670,30000,Supervisory+RL
179,228990,30000,Supervisory+RL
180,221620,30000,Supervisory+RL
181,161920,30000,Supervisory+RL
182,213090,30000,Supervisory+RL
183,181610,30000,Supervisory+RL
184,219440,30000,Supervisory+RL
185,211950,30000,Supervisory+RL
186,180460,30000,Supervisory+RL
187,214060,30000,Supervisory+RL
188,214060,30000,Supervisory+RL
189,174110,30000,Supervisory+RL
190,174130,30000,Supervisory+RL
191,169390,30000,Supervisory+RL
192,217430,30000,Supervisory+RL
193,221550,30000,Supervisory+RL
194,214100,30000,Supervisory+RL
195,217430,30000,Supervisory+RL
196,219540,30000,Supervisory+RL
197,188980,30000,Supervisory+RL
198,214100,30000,Supervisory+RL
199,172040,30000,Supervisory+RL
200,219160,30000,Supervisory+RL
201,218070,30000,Supervisory+RL
202,219100,30000,Supervisory+RL
203,159200,30000,Supervisory+RL
204,219170,30000,Supervisory+RL
205,179120,30000,Supervisory+RL
206,209230,30000,Supervisory+RL
207,227040,30000,Supervisory+RL
208,217060,30000,Supervisory+RL
209,149100,30000,Supervisory+RL
210,229060,30000,Supervisory+RL
211,218090,30000,Supervisory+RL
212,229040,30000,Supervisory+RL
213,219060,30000,Supervisory+RL
214,218070,30000,Supervisory+RL
215,198180,30000,Supervisory+RL
216,188070,30000,Supervisory+RL
217,169230,30000,Supervisory+RL
218,228070,30000,Supervisory+RL
219,226980,30000,Supervisory+RL
220,209140,30000,Supervisory+RL
221,119060,30000,Supervisory+RL
222,229110,30000,Supervisory+RL
223,167060,30000,Supervisory+RL
224,209160,30000,Supervisory+RL
225,188090,30000,Supervisory+RL
226,209160,30000,Supervisory+RL
227,207120,30000,Supervisory+RL
228,219060,30000,Supervisory+RL
229,209160,30000,Supervisory+RL
230,179070,30000,Supervisory+RL
231,209200,30000,Supervisory+RL
232,228070,30000,Supervisory+RL
233,218050,30000,Supervisory+RL
234,189040,30000,Supervisory+RL
235,205050,30000,Supervisory+RL
236,219120,30000,Supervisory+RL
237,165990,30000,Supervisory+RL
238,218030,30000,Supervisory+RL
239,229080,30000,Supervisory+RL
240,208100,30000,Supervisory+RL
241,225870,30000,Supervisory+RL
242,219100,30000,Supervisory+RL
243,209140,30000,Supervisory+RL
244,169100,30000,Supervisory+RL
245,169160,30000,Supervisory+RL
246,219100,30000,Supervisory+RL
247,218070,30000,Supervisory+RL
248,217110,30000,Supervisory+RL
249,178090,30000,Supervisory+RL
250,198260,30000,Supervisory+RL
251,159220,30000,Supervisory+RL
252,245920,30000,Supervisory+RL
253,211730,30000,Supervisory+RL
254,248980,30000,Supervisory+RL
255,235570,30000,Supervisory+RL
256,211730,30000,Supervisory+RL
257,223120,30000,Supervisory+RL
258,223080,30000,Supervisory+RL
259,181980,30000,Supervisory+RL
260,236600,30000,Supervisory+RL
261,195520,30000,Supervisory+RL
262,223050,30000,Supervisory+RL
263,183150,30000,Supervisory+RL
264,196540,30000,Supervisory+RL
265,207000,30000,Supervisory+RL
266,161600,30000,Supervisory+RL
267,224100,30000,Supervisory+RL
268,235590,30000,Supervisory+RL
269,247980,30000,Supervisory+RL
270,211660,30000,Supervisory+RL
271,196470,30000,Supervisory+RL
272,224160,30000,Supervisory+RL
273,159220,30000,Supervisory+RL
274,194480,30000,Supervisory+RL
275,184100,30000,Supervisory+RL
276,248020,30000,Supervisory+RL
277,208980,30000,Supervisory+RL
278,224110,30000,Supervisory+RL
279,144160,30000,Supervisory+RL
280,235530,30000,Supervisory+RL
281,183130,30000,Supervisory+RL
282,184180,30000,Supervisory+RL
283,224070,30000,Supervisory+RL
284,224070,30000,Supervisory+RL
285,235580,30000,Supervisory+RL
286,223070,30000,Supervisory+RL
287,134020,30000,Supervisory+RL
288,235530,30000,Supervisory+RL
289,207950,30000,Supervisory+RL
290,223070,30000,Supervisory+RL
291,235510,30000,Supervisory+RL
292,210710,30000,Supervisory+RL
293,184100,30000,Supervisory+RL
294,246900,30000,Supervisory+RL
295,236550,30000,Supervisory+RL
296,235550,30000,Supervisory+RL
297,144050,30000,Supervisory+RL
298,211730,30000,Supervisory+RL
299,236540,30000,Supervisory+RL
300,227040,30000,Supervisory+RL
301,228020,30000,Supervisory+RL
302,254880,30000,Supervisory+RL
303,213090,30000,Supervisory+RL
304,204060,30000,Supervisory+RL
305,134220,30000,Supervisory+RL
306,189110,30000,Supervisory+RL
307,226010,30000,Supervisory+RL
308,186990,30000,Supervisory+RL
309,243010,30000,Supervisory+RL
310,256820,30000,Supervisory+RL
311,162060,30000,Supervisory+RL
312,241980,30000,Supervisory+RL
313,229100,30000,Supervisory+RL
314,243010,30000,Supervisory+RL
315,242020,30000,Supervisory+RL
316,188050,30000,Supervisory+RL
317,242040,30000,Supervisory+RL
318,226010,30000,Supervisory+RL
319,213140,30000,Supervisory+RL
320,241940,30000,Supervisory+RL
321,203010,30000,Supervisory+RL
322,213160,30000,Supervisory+RL
323,188090,30000,Supervisory+RL
324,244040,30000,Supervisory+RL
325,227000,30000,Supervisory+RL
326,227100,30000,Supervisory+RL
327,229070,30000,Supervisory+RL
328,229110,30000,Supervisory+RL
329,229100,30000,Supervisory+RL
330,214160,30000,Supervisory+RL
331,229100,30000,Supervisory+RL
332,243080,30000,Supervisory+RL
333,241990,30000,Supervisory+RL
334,176980,30000,Supervisory+RL
335,196830,30000,Supervisory+RL
336,243070,30000,Supervisory+RL
337,229100,30000,Supervisory+RL
338,242020,30000,Supervisory+RL
339,228090,30000,Supervisory+RL
340,188000,30000,Supervisory+RL
341,214190,30000,Supervisory+RL
342,214160,30000,Supervisory+RL
343,244080,30000,Supervisory+RL
344,229150,30000,Supervisory+RL
345,242000,30000,Supervisory+RL
346,242010,30000,Supervisory+RL
347,229100,30000,Supervisory+RL
348,159920,30000,Supervisory+RL
349,213090,30000,Supervisory+RL
350,194170,30000,Supervisory+RL
351,251460,30000,Supervisory+RL
352,216690,30000,Supervisory+RL
353,194150,30000,Supervisory+RL
354,211570,30000,Supervisory+RL
355,234100,30000,Supervisory+RL
356,234110,30000,Supervisory+RL
357,247420,30000,Supervisory+RL
358,233040,30000,Supervisory+RL
359,251550,30000,Supervisory+RL
360,234180,30000,Supervisory+RL
361,233050,30000,Supervisory+RL
362,234030,30000,Supervisory+RL
363,266950,30000,Supervisory+RL
364,250520,30000,Supervisory+RL
365,211540,30000,Supervisory+RL
366,233070,30000,Supervisory+RL
367,232100,30000,Supervisory+RL
368,210580,30000,Supervisory+RL
369,250580,30000,Supervisory+RL
370,175660,30000,Supervisory+RL
371,268990,30000,Supervisory+RL
372,251570,30000,Supervisory+RL
373,251610,30000,Supervisory+RL
374,216680,30000,Supervisory+RL
375,251570,30000,Supervisory+RL
376,250570,30000,Supervisory+RL
377,233050,30000,Supervisory+RL
378,233040,30000,Supervisory+RL
379,211600,30000,Supervisory+RL
380,232040,30000,Supervisory+RL
381,184040,30000,Supervisory+RL
382,216660,30000,Supervisory+RL
383,194100,30000,Supervisory+RL
384,233020,30000,Supervisory+RL
385,229040,30000,Supervisory+RL
386,234160,30000,Supervisory+RL
387,234160,30000,Supervisory+RL
388,249440,30000,Supervisory+RL
389,175630,30000,Supervisory+RL
390,232990,30000,Supervisory+RL
391,141980,30000,Supervisory+RL
392,268980,30000,Supervisory+RL
393,211540,30000,Supervisory+RL
394,194100,30000,Supervisory+RL
395,216660,30000,Supervisory+RL
396,234100,30000,Supervisory+RL
397,233030,30000,Supervisory+RL
398,234100,30000,Supervisory+RL
399,234060,30000,Supervisory+RL
400,256940,30000,Supervisory+RL
401,198070,30000,Supervisory+RL
402,279030,30000,Supervisory+RL
403,258010,30000,Supervisory+RL
404,259050,30000,Supervisory+RL
405,276920,30000,Supervisory+RL
406,237060,30000,Supervisory+RL
407,158100,30000,Supervisory+RL
408,238030,30000,Supervisory+RL
409,275950,30000,Supervisory+RL
410,259050,30000,Supervisory+RL
411,188010,30000,Supervisory+RL
412,258020,30000,Supervisory+RL
413,259110,30000,Supervisory+RL
414,276960,30000,Supervisory+RL
415,279040,30000,Supervisory+RL
416,253890,30000,Supervisory+RL
417,219190,30000,Supervisory+RL
418,218130,30000,Supervisory+RL
419,239170,30000,Supervisory+RL
420,239110,30000,Supervisory+RL
421,277950,30000,Supervisory+RL
422,219040,30000,Supervisory+RL
423,297890,30000,Supervisory+RL
424,238030,30000,Supervisory+RL
425,239060,30000,Supervisory+RL
426,296920,30000,Supervisory+RL
427,168070,30000,Supervisory+RL
428,296880,30000,Supervisory+RL
429,257060,30000,Supervisory+RL
430,179160,30000,Supervisory+RL
431,219110,30000,Supervisory+RL
432,258020,30000,Supervisory+RL
433,239100,30000,Supervisory+RL
434,257000,30000,Supervisory+RL
435,257000,30000,Supervisory+RL
436,256940,30000,Supervisory+RL
437,258030,30000,Supervisory+RL
438,239040,30000,Supervisory+RL
439,199080,30000,Supervisory+RL
440,258070,30000,Supervisory+RL
441,278010,30000,Supervisory+RL
442,258060,30000,Supervisory+RL
443,259060,30000,Supervisory+RL
444,259120,30000,Supervisory+RL
