,Rejection Type 1 Probability,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,0,36,4,460
1,20.0,3,20,21,456
2,30.0,6,16,88,390
3,40.0,15,16,42,427
4,50.0,3,29,47,421
5,60.0,14,16,31,439
6,70.0,11,20,11,458
7,80.0,18,17,10,455
8,90.0,0,18,0,482
