,Rejection Type 1 Probability,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,6,28,117,349
1,20.0,17,34,107,342
2,30.0,27,32,99,342
3,40.0,36,24,96,344
4,50.0,48,26,81,345
5,60.0,72,23,66,339
6,70.0,79,34,46,341
7,80.0,83,28,37,352
8,90.0,114,35,28,323
