,mean reward,Rework Cost,method
163,199140,4000,Supervisory+RL
164,159220,4000,Supervisory+RL
165,195100,4000,Supervisory+RL
166,199220,4000,Supervisory+RL
167,151160,4000,Supervisory+RL
168,159220,4000,Supervisory+RL
169,195150,4000,Supervisory+RL
170,199180,4000,Supervisory+RL
171,159190,4000,Supervisory+RL
172,199240,4000,Supervisory+RL
173,159280,4000,Supervisory+RL
174,199220,4000,Supervisory+RL
175,199220,4000,Supervisory+RL
176,155210,4000,Supervisory+RL
177,195190,4000,Supervisory+RL
178,151140,4000,Supervisory+RL
179,165130,4000,Supervisory+RL
180,187130,4000,Supervisory+RL
181,187150,4000,Supervisory+RL
182,159240,4000,Supervisory+RL
183,195190,4000,Supervisory+RL
184,195150,4000,Supervisory+RL
185,205150,4000,Supervisory+RL
186,159220,4000,Supervisory+RL
187,151180,4000,Supervisory+RL
188,115200,4000,Supervisory+RL
189,199220,4000,Supervisory+RL
190,199190,4000,Supervisory+RL
191,147130,4000,Supervisory+RL
192,115190,4000,Supervisory+RL
193,165130,4000,Supervisory+RL
194,195190,4000,Supervisory+RL
195,199240,4000,Supervisory+RL
196,199180,4000,Supervisory+RL
197,159140,4000,Supervisory+RL
198,199210,4000,Supervisory+RL
199,161100,4000,Supervisory+RL
200,239000,5000,Supervisory+RL
201,213970,5000,Supervisory+RL
202,213950,5000,Supervisory+RL
203,164190,5000,Supervisory+RL
204,204130,5000,Supervisory+RL
205,204110,5000,Supervisory+RL
206,199140,5000,Supervisory+RL
207,209070,5000,Supervisory+RL
208,169030,5000,Supervisory+RL
209,169040,5000,Supervisory+RL
210,169080,5000,Supervisory+RL
211,213950,5000,Supervisory+RL
212,204010,5000,Supervisory+RL
213,209040,5000,Supervisory+RL
214,204070,5000,Supervisory+RL
215,214050,5000,Supervisory+RL
216,209000,5000,Supervisory+RL
217,223990,5000,Supervisory+RL
218,219080,5000,Supervisory+RL
219,213950,5000,Supervisory+RL
220,204080,5000,Supervisory+RL
221,129040,5000,Supervisory+RL
222,214050,5000,Supervisory+RL
223,189100,5000,Supervisory+RL
224,224010,5000,Supervisory+RL
225,114200,5000,Supervisory+RL
226,209040,5000,Supervisory+RL
227,213930,5000,Supervisory+RL
