,Rejection Type 1 Probability,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,4,21,110,365
1,20.0,5,12,77,406
2,30.0,7,15,60,418
3,40.0,14,16,87,383
4,50.0,0,35,0,465
5,60.0,0,9,0,491
6,70.0,11,29,13,447
7,80.0,28,21,24,427
8,90.0,1,19,1,479
